번호,시설물명,위치(주소),위도,경도,설치면적,종류,제조사,설치연도,관리기관,전화번호,데이터기준일자
대관령-5,황병산사냥놀이 체험관 앞마당,강원도 평창군 대관령면 차항리 125,37.70699,128.68706,12,하늘걷기+허리돌리기+달리기운동,경일산업주식회사,2010,평창군 대관령면사무소,033-330-2103,2022-09-30
대관령-6,119안전센터 맞은편,강원도 평창군 대관령면 횡계리 371-28,37.67182,128.702907,8,온몸허리돌리기+마라톤운동+어깨근육풀기+하늘걷기,㈜케이엘에스,2009,평창군 대관령면사무소,033-330-2103,2022-09-30
대관령-7,대관령노인회분회 앞 운동기구,강원도 평창군 대관령면 횡계리 342-19,37.670742,128.708084,16,하늘걷기+양팔줄당기기+온몸근육풀기+온몸역기올리기+온몸허리돌리기+옆파도타기+윗몸일으키기+다리뻗치기,㈜케이엘에스,2014,평창군 대관령면사무소,033-330-2103,2022-09-30
대관령-8,육각정 운동기구,강원도 평창군 대관령면 횡계리 331-2,37.674162,128.709485,8,윗몸일으키기+허리돌리기(복합형)+허리돌리기(일체형) +하복부운동기,,1997,평창군 대관령면사무소,033-330-2103,2022-09-30
대관령-9,횡계11리 마을회관 앞 운동기구,강원도 평창군 대관령면 횡계리 279-233,37.674913,128.71258,4,온몸허리돌리기+마라톤운동+어깨근육풀기+하늘걷기,㈜케이엘에스,2014,평창군 대관령면사무소,033-330-2103,2022-09-30
대화1,면사무소앞 야외 운동기구,강원도 평창군 대화면 대화리 1171(면사무소 앞 주차장),37.500892,128.457294,6,온몸근육풀기+온몸역기올리기+하늘걷기,㈜케이엘에스,2006,평창군 대화면사무소,033-330-2708,2022-09-30
대화10,하안미1리 마을회관 앞 야외 운동기구 ,강원도 평창군 대화면 하안미리 1110-1(마을회관 앞),37.466202,128.442243,6,하늘걷기+하체흔들기+허리돌리기,㈜케이엘에스,2007,평창군 대화면사무소,033-330-2708,2022-09-30
대화11,하안미3리 소공원 야외 운동기구 ,강원도 평창군 대화면 하안미리 883,37.450852,128.442821,10,다리밀기+등허리지압운동기+마라톤운동기+온몸역기올리기+하늘걷기,이랜드체육산업㈜,2011,평창군 대화면사무소,033-330-2708,2022-09-30
대화12,하안미3리 소공원 야외 운동기구 ,강원도 평창군 대화면 하안미리 746-3,37.450231,128.448626,12,등허리지압운동+등허리젖히기+온몸노젖기+윗몸일으키기+하체흔들기+허리돌리기,현대체육산업㈜,2002,평창군 대화면사무소,033-330-2708,2022-09-30
대화13,하안미4리 소공원 야외 운동기구 ,강원도 평창군 대화면 하안미리 1783-153,37.449333,128.460093,10,달리기운동기+등허리지압기+등허리풀기+온몸근육풀기+온몸노젖기+하늘걷기+하체흔들기+허리돌리기,㈜케이엘에스,2011,평창군 대화면사무소,033-330-2708,2022-09-30
대화14,하안미5리 소공원 야외 운동기구 ,강원도 평창군 대화면 하안미리 432-2(버스종점 소공원),37.448533,128.484568,10,달리기운동기운동기+등허리지압운동기+어깨근육풀기+온몸역기올리기+허리돌리기,㈜케이엘에스,2011,평창군 대화면사무소,033-330-2708,2022-09-30
대화15,하안미6리(안미초교앞) 야외 운동기구 ,강원도 평창군 대화면 하안미리 1046-4(안미초교 인근),37.460516,128.436412,6,워킹트레이닝머신+체스트업머신+트위스트머신,화랑헬스뱅크,2012,평창군 대화면사무소,033-330-2708,2022-09-30
대화16,개수2리 마을회관 야외 운동기구,강원도 평창군 대화면 개수리 1201-5(마을회관 앞),37.484907,128.389089,4,스윙워커머신+트위스트머신,상상스포츠,2009,평창군 대화면사무소,033-330-2708,2022-09-30
대화17,대화2리 야외 운동기구(대화밧데리 앞),강원도 평창군 대화면 대화리 953-2(대화밧데리 건너편),37.495289,128.456894,8,달리기운동기운동기+양팔줄당기기+옆파도타기+하늘걷기+허리돌리기,제일휘트니스,2015,평창군 대화면사무소,033-330-2708,2022-09-30
대화18,대화10리 마을회관 야외 운동기구 ,강원도 평창군 대화면 대화리 455 (마을회관 앞),37.490951,128.457994,2,허리돌리기,제일휘트니스,2015,평창군 대화면사무소,033-330-2708,2022-09-30
대화19,신4리 마을회관 야외운동기구,강원도 평창군 대화면 신리 757(마을회관 옆),37.537529,128.449403,4,작은활차머신+큰활차머신+허리돌리기,제일휘트니스,2014,평창군 대화면사무소,033-330-2708,2022-09-30
대화2,동방빌라 옆 야외 운동기구,강원도 평창군 대화면 대화리 924-1(동방빌라),37.495586,128.455633,6,마라톤운동기+온몸역기올리기+하늘걷기,월드스포츠,2013,평창군 대화면사무소,033-330-2708,2022-09-30
대화20,신2리 마을회관 ,강원도 평창군 대화면 신리 1110,37.546762,128.445061,4,달리기운동기+옆파도타기+하늘걷기+허리돌리기,제일휘트니스,2016,평창군 대화면사무소,033-330-2708,2022-09-30
대화21,대화8리 마을회관 ,강원도 평창군 대화면 대화리 689-5,37.485237,128.471763,4,양팔줄당기기+옆파도타기+하늘걷기+허리돌리기,제일휘트니스,2016,평창군 대화면사무소,033-330-2708,2022-09-30
대화22,대화1리 마을회관 ,강원도 평창군 대화면 대화리 411-1,37.499065,128.458053,2,달리기운동기+하늘걷기,제일휘트니스,2017,평창군 대화면사무소,033-330-2708,2022-09-30
대화23,대화3리 마을회관 ,강원도 평창군 대화면 대화리1197-1,37.507016,128.456746,2,달리기운동기+하늘걷기,제일휘트니스,2017,평창군 대화면사무소,033-330-2708,2022-09-30
대화24,상안미1리 마을회관 ,강원도 평창군 대화면 상안미리 310,37.474261,128.413874,2,달리기운동기+하늘걷기,제일휘트니스,2017,평창군 대화면사무소,033-330-2708,2022-09-30
대화25,개수1리 마을회관 ,강원도 평창군 대화면 개수리256-13,37.505933,128.390974,2,달리기운동기+하늘걷기,제일휘트니스,2017,평창군 대화면사무소,033-330-2708,2022-09-30
대화26,대화4리 마을회관 ,강원도 평창군 대화면 대화리 297-3,37.515876,128.472651,6,구름걷기+작은활차머신+허리돌리기,제일휘트니스,2019,평창군 대화면사무소,033-330-2708,2022-09-30
대화27,신5리 야외 운동기구,강원도 평창군 대화면 신리 1710,37.548223,128.461284,4,하체흔들기+허리흔들기,제일휘트니스,2009,평창군 대화면사무소,033-330-2708,2022-09-30
대화28,신1리 마을회관 ,강원도 평창군 대화면 평창대로 1343-4,37.536661,128.454186,4,다리뻗치기+달리기운동기,제일휘트니스,2019,평창군 대화면사무소,033-330-2708,2022-09-30
대화29,대화6리 마을회관,강원도 평창군 대화면 대화리 1758-17,37.525511,128.45387,2,체스트업머신,,,평창군 대화면사무소,033-330-2708,2022-09-30
대화3,더위사냥축제장 앞 야외 운동기구,강원도 평창군 대화면 대화리 1154-11(축제장 제방도로),37.503391,128.45242,8,마라톤달리기운동기+양팔줄당기기+하체흔들기+허리돌리기,㈜오리온햄프로,2014,평창군 대화면사무소,033-330-2708,2022-09-30
대화30,대화7리 주민문화센터 풋살장 옆 야외운동기구,강원도 평창군 대화면 대화리 1149-1,37.504331,128.45107,10,양팔줄달리기+하늘걷기+두팔노젓기+역기올리기+체스트업머신,제일휘트니스,,평창군 대화면사무소,033-330-2708,2022-09-30
대화4,대화5리 문화마을 야외 운동기구 ,강원도 평창군 대화면 대화리 1954-8(문화마을 놀이터),37.490117,128.453803,6,마라톤운동+온몸역기올리기+허리돌리기,형후,2012,평창군 대화면사무소,033-330-2708,2022-09-30
대화5,대화6리 소공원 야외 운동기구 ,강원도 평창군 대화면 대화리 1393-13(대화6리 소공원),37.524795,128.452493,4,로윙라이트머신+허리돌리기,,2002,평창군 대화면사무소,033-330-2708,2022-09-30
대화6,상안미1리 물굽이공원 제방 야외 운동기구 ,강원도 평창군 대화면 상안미리 422-6(물굽이공원 제방),37.465184,128.417289,7,버티컬벤치+스텝바이클+크로스컨트리+레그프레스+체어플+롤링웨이스트+체어웨이트,㈜디자인파크개발,2009,평창군 대화면사무소,033-330-2708,2022-09-30
대화7,상안미2리 야외 운동기구,강원도 평창군 대화면 상안미리 857-1(도로변 공터),37.471308,128.397459,6,워킹트레이닝머신+체인스트머신+트위스트머신,화랑헬스뱅크,2012,평창군 대화면사무소,033-330-2708,2022-09-30
대화8,신1리 소공원 야외 운동기구 ,강원도 평창군 대화면 신리 597-8(신1리 소공원),37.533663,128.456452,8,다리밀기+옆파도타기+하늘걷기+허리돌리기,현대산업개발㈜,2008,평창군 대화면사무소,033-330-2708,2022-09-30
대화9,하안미1리 야외 운동기구 ,강원도 평창군 대화면 하안미리 2067-8(제방도로공터),37.473466,128.450148,8,어깨근육풀기+하늘걷기+하체흔들기+허리돌리기,㈜케이엘에스,2008,평창군 대화면사무소,033-330-2708,2022-09-30
미탄1,기화리 소공원 야외운동기구,강원도 평창군 미탄면 기화리 328-3,37.304803,128.538547,8,마라톤운동기+어깨근육풀기+온몸허리돌리기+윗몸일으키기+자유평행봉+하늘걷기,평창종합상사,2013,평창군 미탄면사무소,033-330-2688,2022-09-30
미탄10,율치리 새뜰마을 사업 주차장 ,강원도 평창군 미탄면 율치리 328,37.318614,128.481162,14,어깨근육풀기+하늘걷기+옆파도타기+온몸허리돌리기+하늘걷기+다리뻗기+허리등안마기,,,평창군 미탄면사무소,033-330-2688,2022-09-30
미탄11,평안2리 마을회관 야외운동기구,강원도 평창군 미탄면 평안리 414-2,37.383693,128.525706,12,공중걷기+달리기운동기+앉아자전거타기+옆으로몸통흔들기+윗몸일으키기+입식허리돌리기,신우건업,2015,평창군 미탄면사무소,033-330-2688,2022-09-30
미탄12,마하리 체육공원 소규모운동시설,강원도 평창군 미탄면 마하리 213,37.288477,128.538567,10,공중걷기+등기대자전거타기+좌식허리돌리기+큰팔돌리기+포스트,에스엠뷰텍,2016,평창군 미탄면사무소,033-330-2688,2022-09-30
미탄13,한탄리 야외운동기구,강원도 평창군 미탄면 한탄리 520,37.318042,128.516019,8,가로하늘타기+공중하늘걷기+상체스윙+허리돌리기,평창레저개발,2016,평창군 미탄면사무소,033-330-2688,2022-09-30
미탄15,창3리 강변도로변-2,강원도 평창군 미탄면 창리 295,37.343408,128.499831,8,다리밀기+마사지+양팔줄당기기+어깨근육풀기+옆파도타기+윗옴일으키기+자전거타기+하늘걷기,케이엘에스+에스엠뷰틱,2015,평창군 미탄면사무소,033-330-2688,2022-09-30
미탄16,창1리 시내 공원,강원도 평창군 미탄면 창리 773-4,37.341381,128.500544,14,작은활차머신+작은활차머신+공중걷기+달리기운동+입식허리돌리기,매직인터내셔날,,평창군 미탄면사무소,033-330-2688,2022-09-30
미탄2,기화리 용소골앞 야외운동기구,강원도 평창군 미탄면 기화리 227-3,37.307908,128.531634,12,어깨근육풀기+하늘걷기+달리기운동기+앉아자전거타기+양팔줄달리기운동기+어깨팔늘리기+옆파도타기+온몸허리돌리기+입식허리돌리기,㈜가인조경+케이엘에스,2019,평창군 미탄면사무소,033-330-2688,2022-09-30
미탄3,평안1리 등산로 야외운동기구,강원도 평창군 미탄면 평안리 732-1,37.351728,128.515528,6,마라톤운동기+양팔줄당기기+어깨근육풀기+옆파도타기+하늘걷기+허리돌리기,평창종합상사,2013,평창군 미탄면사무소,033-330-2688,2022-09-30
미탄4,평안1리 마을회관 야외운동기구,강원도 평창군 미탄면 평안리 727-14,37.349087,128.513537,4,달리기운동기+앉아자전거타기+입식허리돌리기+작은팔돌리기,㈜가인조경,2019,평창군 미탄면사무소,033-330-2688,2022-09-30
미탄5,평안2리 하천변 야외운동기구,강원도 평창군 미탄면 평안리 477-1 하천변,37.384689,128.523581,6,마라톤운동기+양팔줄당기기+어깨근육풀기+옆파도타기기+온몸허리돌리기+하늘걷기,평창종합상사,2013,평창군 미탄면사무소,033-330-2688,2022-09-30
미탄6,회동1리 마을회관 야외운동기구,강원도 평창군 미탄면 회동리 454-3,37.354373,128.490831,8,공중걷기+옆으로몸통흔들기+입식허리돌리기+큰팔돌리기,신우건업,2015,평창군 미탄면사무소,033-330-2688,2022-09-30
미탄7,창2리 마을회관 야외운동기구,강원도 평창군 미탄면 창리 91-5,37.333273,128.512125,8,공중걷기+옆으로몸통흔들기+입식허리돌리기+큰팔돌리기,신우건업,2015,평창군 미탄면사무소,033-330-2688,2022-09-30
미탄8,창1리체육공원 야외운동기구,강원도 평창군 미탄면 창리 719-5,37.340397,128.499212,12,공중걷기+다리밀기+물구나무서기+앉아서자전거타기+옆으로몸통흔들기+윗몸일으키기(2),신우건업,2015,평창군 미탄면사무소,033-330-2688,2022-09-30
미탄9,창1리체육공원 야외운동기구,강원도 평창군 미탄면 창리 719-5,37.340397,128.499212,14,양팔줄당기기+옆파도타기+온몸허리돌리기+작은팔돌리기+턱걸이(2)+하늘걷기+허리돌리기(2),,,평창군 미탄면사무소,033-330-2688,2022-09-30
방림1,방림1리 노인회관 앞,강원도 평창군 방림면 방림리 1279-24,37.427053,128.393352,6,마라톤운동기+옆파도타기+하늘걷기,,2014,평창군 방림면사무소,033-330-2695,2022-09-30
방림10,운교2리 강녕관,강원도 평창군 방림면 운교리 608,37.432428,128.310914,4,달리기운동기운동기+허리돌리기,㈜아이세상,2016,평창군 방림면사무소,033-330-2695,2022-09-30
방림11,방림3리 골미입구 공원,강원도 평창군 방림면 방림리 산 323-1,37.434503,128.373337,8,달리기운동기운동기+싸이클+역기올리기+윗몸일으키기,㈜아이세상,2017,평창군 방림면사무소,033-330-2695,2022-09-30
방림12,계촌3리 마을회관,강원도 평창군 방림면 계촌리 1195-7,37.451709,128.325594,4,옆파도타기+허리돌리기,한양그린파크,2018,평창군 방림면사무소,033-330-2695,2022-09-30
방림2,방림1리 성황당 옆,강원도 평창군 방림면 방림리 1610-3,37.426928,128.390503,14,마라톤운동기+옆파도타기+온몸근육풀기+온몸허리돌리기+하늘걷기+앉아밀어주기+앉아당기기,㈜케이엘에스+㈜유민,2013,평창군 방림면사무소,033-330-2695,2022-09-30
방림3,방림4리 마을회관 옆,강원도 평창군 방림면 방림리 276-9,37.447012,128.433735,6,양팔줄당기기+어깨근육풀기+온몸허리돌리기,,2010,평창군 방림면사무소,033-330-2695,2022-09-30
방림4,방림5리 천제당 체육공원,강원도 평창군 방림면 방림리 736-22,37.426062,128.413597,8,싯업머신+트위스트머신+풍차돌리기+하늘걷기,,2007,평창군 방림면사무소,033-330-2695,2022-09-30
방림5,운교1리 게이트볼장 옆,강원도 평창군 방림면 운교리 960,37.432714,128.288848,14,다리뻗치기+마라톤운동기+양팔줄당기기+옆파도타기+온몸근육풀기+온몸허리돌리기+하늘걷기,㈜케이엘에스,2013,평창군 방림면사무소,033-330-2695,2022-09-30
방림6,운교3리 사천교회 앞,강원도 평창군 방림면 운교리 146-1,37.43085,128.331245,2,온몸허리돌리기,,2010,평창군 방림면사무소,033-330-2695,2022-09-30
방림7,계촌1리 수동분교,강원도 평창군 방림면 계촌리 249-3,37.453113,128.345099,4,어깨근육풀기+온몸허리돌리기,,2012,평창군 방림면사무소,033-330-2695,2022-09-30
방림8,방림2리 마을회관,강원도 평창군 방림면 방림리 670-5,37.433328,128.419465,4,윗몸일으키기+싸이클,㈜아이세상,2015,평창군 방림면사무소,033-330-2695,2022-09-30
방림9,방림5리 노인회관,강원도 평창군 방림면 방림리 837-4,37.427602,128.410841,4,달리기운동기운동기+허리돌리기,㈜아이세상,2016,평창군 방림면사무소,033-330-2695,2022-09-30
봉평1,봉평면사무소 옆 주차공원 야외운동기구,강원도 평창군 봉평면 창동리 362-2,37.616079,128.378702,8,마라톤운동+온몸허리돌리기+온몸역기내리기+자유평행봉+거꾸로매달리기+자유철봉,㈜케이엘에스,2013,평창군 봉평면사무소,033-330-2727,2022-09-30
봉평10,창동4리 마을회관 야외운동기구,강원도 평창군 봉평면 창동리 516-1,37.610636,128.367393,4,상체근육풀기+달리기+하늘걷기+허리돌리기,㈜아이세상,2017,평창군 봉평면사무소,033-330-2727,2022-09-30
봉평11,유포1리 소공원 야외운동기구,강원도 평창군 봉평면 유포리 108,37.540376,128.392119,4,상체근육풀기+달리기+하늘걷기+허리돌리기,㈜아이세상,2017,평창군 봉평면사무소,033-330-2727,2022-09-30
봉평12,덕거1리 마을회관 야외운동기구,강원도 평창군 봉평면 덕거리 876,37.633985,128.391187,4,상체근육풀기+달리기+하늘걷기+허리돌리기,㈜아이세상,2017,평창군 봉평면사무소,033-330-2727,2022-09-30
봉평2,봉평면노인회 경로당 옆 소공원 야외운동기구,강원도 평창군 봉평면 창동리 421-2,37.613044,128.377345,6,옆파도타기+온몸허리돌리기+온몸역기내리기+자유평행봉+마라톤운동+등허리지압기,㈜케이엘에스,2013,평창군 봉평면사무소,033-330-2727,2022-09-30
봉평3,유존양지아파트 옆 소공원 야외운동기구,강원도 평창군 봉평면 창동리 306-1,37.613797,128.380418,6,마라톤운동+온몸허리돌리기+온몸역기내리기+자유평행봉+자유철봉,㈜케이엘에스,2013,평창군 봉평면사무소,033-330-2727,2022-09-30
봉평4,원길1리 경로당 야외운동기구,강원도 평창군 봉평면 원길리 252-1,37.621615,128.377412,6,마라톤운동+온몸노젓기+온몸허리돌리기+온몸역기내리기+자유평행봉,㈜케이엘에스,2013,평창군 봉평면사무소,033-330-2727,2022-09-30
봉평5,평촌2리 경로당 옆 야외운동기구,강원도 평창군 봉평면 평촌리 141,37.614997,128.401807,8,마라톤운동+어깨팔돌리기+옆으로몸통흔들기+온몸허기돌리기+자전거타기+맛사지기+팔돌리기,에스엠뷰텍,2014,평창군 봉평면사무소,033-330-2727,2022-09-30
봉평6,흥정1리(허브다리 옆) 소하천 야외운동기구,강원도 평창군 봉평면 흥정리 408,37.639238,128.339457,14,물구나무서기+입식허리돌리기+좌식허리돌리기+옆으로몸통흔들기+공중걷기+윗몸일으키기+큰팔돌리기,에스엠뷰텍,2015,평창군 봉평면사무소,033-330-2727,2022-09-30
봉평7,봉평면 평촌1리 마을회관 ,강원도 평창군 봉평면 평촌리 500-3,37.599337,128.380633,8,등기대자전거타기+좌식허리돌리기+다리밀기+달리기,신우건업,2016,평창군 봉평면사무소,033-330-2727,2022-09-30
봉평8,봉평면 면온1리 마을 ,강원도 평창군 봉평면 면온리 77,37.56276,128.373543,6,역기올리기내리기+사이클오금펴기+윗몸일으키기,㈜아이세상,2016,평창군 봉평면사무소,033-330-2727,2022-09-30
봉평9,원길2리 마을회관 야외운동기구,강원도 평창군 봉평면 원길리 695-2,37.622073,128.368195,4,상체근육풀기+달리기+하늘걷기+허리돌리기,㈜아이세상,2017,평창군 봉평면사무소,033-330-2727,2022-09-30
용평1,장평1리야외 운동기구,강원도 평창군 용평면 장평리 380-2(장평족구장 옆),37.588826,128.415464,10,스카이워킹+등허리근육풀기+옆파도타기+푸쉬웨이트+트위스트,㈜그린나래+㈜한길이엔지,2011,평창군 용평면사무소,033-330-2740,2022-09-30
용평2,속사1리 벚꽂마을 야외 운동기구,강원도 평창군 용평면 속사리 472-1(소사1리 벚꽂마을 족구장 옆),37.639583,128.494243,8,옆파도타기+어깨근육풀기운동+하늘걷기+허리돌리기,,2012,평창군 용평면사무소,033-330-2740,2022-09-30
용평3,(구)용전초 운동장 야외 운동기구,강원도 평창군 용평면 신선골길 7(구 용전초교 운동장 옆),37.605622,128.442011,6,옆파도타기+허리돌리기+역기올리기,,2013,평창군 용평면사무소,033-330-2740,2022-09-30
용평4,용전면사무소 야외 운동기구,강원도 평창군 용평면 용전리 135-6(둔전평전수회관 옆),37.606443,128.440857,8,좌식허리돌리기+옆으로몸통흔들기+앉아자전거타기+공중걷기,㈜에스엠뷰텍,2015,평창군 용평면사무소,033-330-2740,2022-09-30
용평5,용전리 마을회관 야외 운동기구,강원도 평창군 용평면 용전리 423(용전리 마을회관 주차장),37.606265,128.439698,4,옆파도타기+허리돌리기,,2015,평창군 용평면사무소,033-330-2740,2022-09-30
용평6,이목정1리 마을회관 ,강원도 평창군 용평면 이목정리 11-1,37.59533,128.481523,4,공중걷기+허리돌리기+옆파도타기,월드스포츠 주식회사,2016,평창군 용평면사무소,033-330-2740,2022-09-30
용평7,장평1리 마을회관 ,강원도 평창군 용평면 장평리 676-45,37.590401,128.417721,2,옆파도타기+허리돌리기,월드스포츠 주식회사,2016,평창군 용평면사무소,033-330-2740,2022-09-30
용평8,속사2리 마을회관 ,강원도 평창군 용평면 속사리 794-1,37.651176,128.485973,2,공중걷기+허리돌리기,월드스포츠 주식회사,2016,평창군 용평면사무소,033-330-2740,2022-09-30
용평9,재산2리 마을회관 ,강원도 평창군 용평면 재산리 1642-24,37.540989,128.394957,2,허리돌리기+공중걷기,월드스포츠 주식회사,2016,평창군 용평면사무소,033-330-2740,2022-09-30
진부1,석두산 등산로 야외운동기구,강원도 평창군 진부면 하진부리 산16 석두산 등산로,37.640626,128.556417,20,힘센레그프레스+힘센버터플라이+마라톤+등허리지압기+온몸역기내리기+자유평행봉+온몸역기올리기+온몸근육풀기+하늘걷기+양팔줄당기기+자유철봉+다리뻗치기+윗몸일으키기+온몸허리돌리기+옆파도타기,케이엘에스,2012,평창군 진부면사무소,033-330-2607,2022-09-30
진부10,상진부3리 마을내 공원,강원도 평창군 진부면 상진부리 1033-9 마을내 공원,37.647343,128.567558,10,허리돌리기+달리기운동+상체근육풀기+양팔로프당기기+어깨유연성운동,경일산업,2013,평창군 진부면사무소,033-330-2607,2022-09-30
진부11,상진부3리 외곽도로 하천변,강원도 평창군 진부면 상진부리 249-12 장애인종합복지관 건립지 앞,37.652276,128.571587,2,온몸허리돌리기,케이엘에스,,평창군 진부면사무소,033-330-2607,2022-09-30
진부12,석미아파트 경로당 뒤편 공원,강원도 평창군 진부면 송정리 2537 석미아파트 경로당 뒤편,37.63761,128.563765,4,크로스컨트리+트리플트위스트,디자인파크,2012,평창군 진부면사무소,033-330-2607,2022-09-30
진부13,송정4리 소공원,강원도 평창군 진부면 송정리 2515 소공원,37.635421,128.562633,14,"달리기운동+오금펴기+역기내리기+공중걷기+등,허리지압기+마라톤+옆파도타기+온몸허리돌리기+온몸근육풀기+온몸역기올리기","경일산업, 케이엘에스",2011,평창군 진부면사무소,033-330-2607,2022-09-30
진부14,동산리 경로당,강원도 평창군 진부면 동산리 26-5,37.715975,128.598378,6,온몸허리돌리기+양팔줄당기기+온몸근육풀기,케이엘에스,,평창군 진부면사무소,033-330-2607,2022-09-30
진부15,간평1리 오대천 제방,강원도 평창군 진부면 간평리 53-13 ,37.689881,128.597737,8,허리돌리기+파도타기+공중걷기+달리기운동,경일산업,,평창군 진부면사무소,033-330-2607,2022-09-30
진부16,상월오개1리 마을회관,강원도 평창군 진부면 상월오개리 261-1,37.613074,128.526662,6,허리돌리기+공중걷기+양팔줄당기기,,,평창군 진부면사무소,033-330-2607,2022-09-30
진부17,마평2리 버스승강장 옆,강원도 평창군 진부면 마평리 133-10,37.569577,128.556953,4,공중걷기+허리돌리기+하체흔들기+온몸근육풀기,삼형스포메디,2014,평창군 진부면사무소,033-330-2607,2022-09-30
진부18,송정2리 마을회관 지나 정자 옆,강원도 평창군 진부면 송정리 2144,37.614132,128.553167,2,허리돌리기+마라톤,,2014,평창군 진부면사무소,033-330-2607,2022-09-30
진부19,송정2리 송정교 다리건너 마을입구,강원도 평창군 진부면 송정리 2390-1,37.623847,128.550967,2,싣업머신+오버헤드폴리머신,월드스포츠산업,2014,평창군 진부면사무소,033-330-2607,2022-09-30
진부2,석두산 등산로 삼거리 야외운동기구,강원도 평창군 진부면 하진부리 산16 등산로 삼거리,37.643217,128.556116,2,허리돌리기,매직인터내셔널,2013,평창군 진부면사무소,033-330-2607,2022-09-30
진부20,하진부1리 공영주차장 도로변,강원도 평창군 진부면 하진부리 113-1 공영주차장,37.635143,128.558659,8,싣업머신+오버헤드폴리머신+써핑롤링머신+트위스트머신+체스트업머신+체스트다운머신+워킹트레이너머신+스윙워커머신,월드스포츠산업,2014,평창군 진부면사무소,033-330-2607,2022-09-30
진부21,상진부2리 억두동교 앞 소공원,강원도 평창군 진부면 상진부리 101,37.671854,128.572363,4,워킹트레이너머신+트위스트머신+체스트업머신+체스트다운머신,월드스포츠산업,2015,평창군 진부면사무소,033-330-2607,2022-09-30
