연번,시도명,시군구명,소재지 지번주소,설치장소,운동기구종류,수량,관리부서,관리부서연락처,데이터기준일자
24,대구광역시,북구,대구광역시 북구 관음동 1260,관음동 우주교통 건너,달리기 외2종,3,체육진흥과,053-665-3952,2022-06-13
25,대구광역시,북구,대구광역시 북구 관음동 1251,신락공원,공중걷기 외3종,4,체육진흥과,053-665-3952,2022-06-13
26,대구광역시,북구,대구광역시 북구 관음동 1333,관음경로공원,공중걷기 외3종,4,체육진흥과,053-665-3952,2022-06-13
27,대구광역시,북구,대구광역시 북구 관음동 1382,읍내공원,공중걷기 외3종,4,체육진흥과,053-665-3952,2022-06-13
28,대구광역시,북구,대구광역시 북구 관음동 1400-2,관음동 동네체육시설,공중걷기 외2종,3,체육진흥과,053-665-3952,2022-06-13
29,대구광역시,북구,대구광역시 북구 관음동 1260 일원,관음동 시설녹지,공중걷기 외4종,5,체육진흥과,053-665-3952,2022-06-13
30,대구광역시,북구,대구광역시 북구 구암동 773,함지근린공원,공중걷기 외13종,23,체육진흥과,053-665-3952,2022-06-13
31,대구광역시,북구,대구광역시 북구 구암동 694,구암근린공원,공중걷기 외12,16,체육진흥과,053-665-3952,2022-06-13
32,대구광역시,북구,대구광역시 북구 구암동 700,구암공원,공중걷기 외3종,4,체육진흥과,053-665-3952,2022-06-13
33,대구광역시,북구,대구광역시 북구 구암동 662,해당화공원,공중걷기 외3종,4,체육진흥과,053-665-3952,2022-06-13
34,대구광역시,북구,대구광역시 북구 구암동 787-2,사계절공원,허리돌리기 외3,4,체육진흥과,053-665-3952,2022-06-13
35,대구광역시,북구,대구광역시 북구 구암동 789-3,뜨락공원,공중걷기 외4종,5,체육진흥과,053-665-3952,2022-06-13
36,대구광역시,북구,대구광역시 북구 구암동 823-6,운곡공원,공중걷기 외4종,5,체육진흥과,053-665-3952,2022-06-13
37,대구광역시,북구,대구광역시 북구 구암동 799,솔밭공원,공중걷기 외3종,4,체육진흥과,053-665-3952,2022-06-13
38,대구광역시,북구,대구광역시 북구 구암동 388,운암지 생활공원,공중걷기 외2종,3,체육진흥과,053-665-3952,2022-06-13
39,대구광역시,북구,대구광역시 북구 구암동 357,운암지 체육공원,공중걷기 외11종,17,체육진흥과,053-665-3952,2022-06-13
40,대구광역시,북구,대구광역시 북구 구암동 353,운암지공원(짚라인 옆),허리돌리기 외3,4,체육진흥과,053-665-3952,2022-06-13
41,대구광역시,북구,대구광역시 북구 구암동 761-1,구암동 가구골목 인근 녹지,공중걷기 외3종,4,체육진흥과,053-665-3952,2022-06-13
42,대구광역시,북구,대구광역시 북구 구암동 679,다람쥐공원,허리돌리기 외2,3,체육진흥과,053-665-3952,2022-06-13
43,대구광역시,북구,대구광역시 북구 국우동 1104,북구 구민운동장,공중걷기 외14종,31,체육진흥과,053-665-3952,2022-06-13
44,대구광역시,북구,대구광역시 북구 학정동917-1,거동교 동네체육시설,공중걷기 외8종,22,체육진흥과,053-665-3952,2022-06-13
45,대구광역시,북구,대구광역시 북구 국우동 1079-2,둥근달공원,파도타기 외2종,3,체육진흥과,053-665-3952,2022-06-13
46,대구광역시,북구,대구광역시 북구 국우동 1106,예삐공원,공중걷기 외7종,8,체육진흥과,053-665-3952,2022-06-13
47,대구광역시,북구,대구광역시 북구 국우동 1112,마당공원,공중걷기 외3종,4,체육진흥과,053-665-3952,2022-06-13
48,대구광역시,북구,대구광역시 북구 학정동977,학공원,파도타기 외2종,4,체육진흥과,053-665-3952,2022-06-13
49,대구광역시,북구,대구광역시 북구 학정동 960,거북공원,공중걷기 외3종,4,체육진흥과,053-665-3952,2022-06-13
50,대구광역시,북구,대구광역시 북구 학정동 939-3,질마당공원,공중걷기 외3종,3,체육진흥과,053-665-3952,2022-06-13
51,대구광역시,북구,대구광역시 북구 학정동 950,학정공원,공중걷기 외4종,5,체육진흥과,053-665-3952,2022-06-13
52,대구광역시,북구,대구광역시 북구 국우동 1085-1,미리내공원,공중걷기 외2종,3,체육진흥과,053-665-3952,2022-06-13
53,대구광역시,북구,대구광역시 북구 국우동 1120,국우동 1120 녹지대,허리돌기 외2종,3,체육진흥과,053-665-3952,2022-06-13
54,대구광역시,북구,대구광역시 북구 동호동 73,서리지생태공원,공중걷기 외2종,3,체육진흥과,053-665-3952,2022-06-13
55,대구광역시,북구,대구광역시 북구 도남동 823-1,도남동 동네체육시설,공중걷기 외2종,3,체육진흥과,053-665-3952,2022-06-13
56,대구광역시,북구,대구광역시 북구 노원로23길16-1,노원3가2동 경로당,공중걷기 외2종,3,체육진흥과,053-665-3952,2022-06-13
57,대구광역시,북구,대구광역시 북구 노원3가 1019,팔달공원,공중걷기 외10종,11,체육진흥과,053-665-3952,2022-06-13
58,대구광역시,북구,대구광역시 북구 노원2가 31,무궁화공원,공중걷기 외7종,8,체육진흥과,053-665-3952,2022-06-13
59,대구광역시,북구,대구광역시 북구 노원2가 267,해바라기공원,파도타기 외5종,6,체육진흥과,053-665-3952,2022-06-13
60,대구광역시,북구,대구광역시 북구 대현남로 43,대현도서관,공중걷기 외1,2,체육진흥과,053-665-3952,2022-06-13
61,대구광역시,북구,대구광역시 북구 대현1동 112-41,대현공원,공중걷기 외8종,9,체육진흥과,053-665-3952,2022-06-13
62,대구광역시,북구,대구광역시 북구 대현동 25-40,대현동 녹지대(새나래어린이집옆),허리돌리기 외1종,2,체육진흥과,053-665-3952,2022-06-13
63,대구광역시,북구,대구광역시 북구 동천동 950-1,동천근린공원,공중걷기 외11종,18,체육진흥과,053-665-3952,2022-06-13
64,대구광역시,북구,대구광역시 북구 동천동 891-1,미소공원,공중걷기 외6종,7,체육진흥과,053-665-3952,2022-06-13
65,대구광역시,북구,대구광역시 북구 동천동 913-1,반딧불이공원,공중걷기 외5종,6,체육진흥과,053-665-3952,2022-06-13
66,대구광역시,북구,대구광역시 북구 동천동 939,오뚜기공원,공중걷기 외3종,4,체육진흥과,053-665-3952,2022-06-13
67,대구광역시,북구,대구광역시 북구 동천동 957-3,영남네오빌 앞 팔거천 ,거꾸로매달리기,1,체육진흥과,053-665-3952,2022-06-13
68,대구광역시,북구,대구광역시 북구 동천동 838-53,한양공작 앞 동네체육,공중걷기 외9종,16,체육진흥과,053-665-3952,2022-06-13
69,대구광역시,북구,대구광역시 북구 동천동 926-1,천서공원,공중걷기 외5종,6,체육진흥과,053-665-3952,2022-06-13
70,대구광역시,북구,대구광역시 북구 동천동 889-1,들꽃공원,공중걷기 외2종,3,체육진흥과,053-665-3952,2022-06-13
71,대구광역시,북구,대구광역시 북구 서변동 1747,서변근린공원,공중걷기 외10종,15,체육진흥과,053-665-3952,2022-06-13
72,대구광역시,북구,대구광역시 북구 동변동 678,동변근린공원,공중걷기 외6종,10,체육진흥과,053-665-3952,2022-06-13
73,대구광역시,북구,대구광역시 북구 동변동 617,동변동 동네체육시설,공중걷기 외5종,6,체육진흥과,053-665-3952,2022-06-13
74,대구광역시,북구,대구광역시 북구 동변동 699,U대회선수촌1단지 쌈지공원,공중걷기 외5종,6,체육진흥과,053-665-3952,2022-06-13
75,대구광역시,북구,대구광역시 북구 서변동 산41,고촌마을 동네체육시설,파도타기  외 2종,3,체육진흥과,053-665-3952,2022-06-13
76,대구광역시,북구,대구광역시 북구 서변동 1725,도곡공원,공중걷기 외2종,3,체육진흥과,053-665-3952,2022-06-13
77,대구광역시,북구,대구광역시 북구 서변동 1735,성북공원,공중걷기 외5종,6,체육진흥과,053-665-3952,2022-06-13
78,대구광역시,북구,대구광역시 북구 서변동 1763,으뜸공원,공중걷기 외2종,3,체육진흥과,053-665-3952,2022-06-13
79,대구광역시,북구,대구광역시 북구 동변동 659,동화공원,공중걷기 외2종,3,체육진흥과,053-665-3952,2022-06-13
80,대구광역시,북구,대구광역시 북구 동변동 698,해오라기공원,상체근육풀기 ,1,체육진흥과,053-665-3952,2022-06-13
81,대구광역시,북구,대구광역시 북구 동변동 599-6 일원,화담길 내 녹지대,공중걷기 외6종,7,체육진흥과,053-665-3952,2022-06-13
82,대구광역시,북구,대구광역시 북구 조야동102-1,조야초등학교 동네체육시설,공중걷기 외4종,5,체육진흥과,053-665-3952,2022-06-13
83,대구광역시,북구,대구광역시 북구 서변동 1773,햇살어린이공원,공중걷기 외3종,4,체육진흥과,053-665-3952,2022-06-13
84,대구광역시,북구,대구광역시 북구 조야동 44,조야동 동네체육,공중걷기 외3종,4,체육진흥과,053-665-3952,2022-06-13
85,대구광역시,북구,대구광역시 북구 연경동 1051,연경근린공원,공중걷기 외7종,15,체육진흥과,053-665-3952,2022-06-13
86,대구광역시,북구,대구광역시 북구 연경동 1046,연경어린이공원(화암공원),공중걷기 외4종,5,체육진흥과,053-665-3952,2022-06-13
87,대구광역시,북구,대구광역시 북구 연경동 925,연경어린이공원(태봉공원),공중걷기 외4종,5,체육진흥과,053-665-3952,2022-06-13
88,대구광역시,북구,대구광역시 북구 연경동 1049,연경체육공원,공중걷기 외4종,5,체육진흥과,053-665-3952,2022-06-13
89,대구광역시,북구,대구광역시 북구 서변동 1794,한솔공원,공중걷기 외2종,3,체육진흥과,053-665-3952,2022-06-13
90,대구광역시,북구,대구광역시 북구 복현1동 573-7,복현동 쌈지공원,공중걷기 외2종,3,체육진흥과,053-665-3952,2022-06-13
91,대구광역시,북구,대구광역시 북구 복현동 447,경진초등학교내 동네체육시설,공중걷기 외3종,4,체육진흥과,053-665-3952,2022-06-13
92,대구광역시,북구,대구광역시 북구 복현동 623,복현동 장미공원,공중걷기 외4종,5,체육진흥과,053-665-3952,2022-06-13
93,대구광역시,북구,대구광역시 북구 복현동 163-13,공항교 하부 체육시설,공중걷기 외14종,18,체육진흥과,053-665-3952,2022-06-13
94,대구광역시,북구,대구광역시 북구 복현동 201-1,들샘공원,공중걷기 외5종,7,체육진흥과,053-665-3952,2022-06-13
95,대구광역시,북구,대구광역시 북구 복현동 234-7,영진공원,공중걷기 외4종,5,체육진흥과,053-665-3952,2022-06-13
96,대구광역시,북구,대구광역시 북구 복현동 190-5,녹색공원,허리돌리기 외1종,3,체육진흥과,053-665-3952,2022-06-13
97,대구광역시,북구,대구광역시 북구 　복현동 695,부엉이공원,허리돌리기 외6종,7,체육진흥과,053-665-3952,2022-06-13
98,대구광역시,북구,대구광역시 북구 복현동 702,복현5공원,허리돌리기 외2종,3,체육진흥과,053-665-3952,2022-06-13
99,대구광역시,북구,대구광역시 북구 복현2동 33,문성초등학교 동네체육,공중걷기 외2종,3,체육진흥과,053-665-3952,2022-06-13
100,대구광역시,북구,대구광역시 북구 복현동 371-7,복현2동 광명아파트 옆 ,파도타기 외5종,6,체육진흥과,053-665-3952,2022-06-13
101,대구광역시,북구,대구광역시 북구 산격동 산86-12,연암근린공원,공중걷기 외14종,43,체육진흥과,053-665-3952,2022-06-13
102,대구광역시,북구,대구광역시 북구 산격동 산 86-19,산격문화회관 인근 쌈지공원,공중걷기 외5종,6,체육진흥과,053-665-3952,2022-06-13
103,대구광역시,북구,대구광역시 북구 산격동 877-3 일원,산격동 쌈지공원,파도타기 외3,4,체육진흥과,053-665-3952,2022-06-13
104,대구광역시,북구,대구광역시 북구 산격동 1136-3,산격배수지 ,공중걷기 외10종,13,체육진흥과,053-665-3952,2022-06-13
105,대구광역시,북구,대구광역시 북구 산격동 1519-15,동성맨션 앞 녹지,공중걷기 외3종,4,체육진흥과,053-665-3952,2022-06-13
106,대구광역시,북구,대구광역시 북구 산격동 산9-2,대불근린공원,공중걷기 외13종,37,체육진흥과,053-665-3952,2022-06-13
107,대구광역시,북구,대구광역시 북구 산격동 1627,거평아파트 옆,파도타기 외4,5,체육진흥과,053-665-3952,2022-06-13
108,대구광역시,북구,대구광역시 북구 산격동 1633 일원,유통단지산책로,공중걷기 외10종,21,체육진흥과,053-665-3952,2022-06-13
109,대구광역시,북구,대구광역시 북구 산격동 1620,신기공원,공중걷기 외3종,4,체육진흥과,053-665-3952,2022-06-13
110,대구광역시,북구,대구광역시 북구 산격동 1393,무지개공원,공중걷기 외4종,5,체육진흥과,053-665-3952,2022-06-13
111,대구광역시,북구,대구광역시 북구 산격동 1241-4,개나리공원,공중걷기 외7종,8,체육진흥과,053-665-3952,2022-06-13
112,대구광역시,북구,대구광역시 북구 산격4동 산124-13,꽃보라동산,공중걷기 외4종,9,체육진흥과,053-665-3952,2022-06-13
113,대구광역시,북구,대구광역시 북구 산격동 1445-3,대구시청 별관,공중걷기 외5종,7,체육진흥과,053-665-3952,2022-06-13
114,대구광역시,북구,대구광역시 북구 읍내동 1395,팔거 동네체육시설(한양공작아파트 앞),공중걷기 외14종,32,체육진흥과,053-665-3952,2022-06-13
115,대구광역시,북구,대구광역시 북구 읍내동 1234-126,읍내동 동네체육시설(동천교 인근),공중걷기 외6종,11,체육진흥과,053-665-3952,2022-06-13
116,대구광역시,북구,대구광역시 북구 읍내동 1295-6,말산공원,공중걷기 외2종,3,체육진흥과,053-665-3952,2022-06-13
117,대구광역시,북구,대구광역시 북구 읍내동 1353,대천공원,공중걷기 외3종,4,체육진흥과,053-665-3952,2022-06-13
118,대구광역시,북구,대구광역시 북구 관음중앙로32길 옆,읍내정보통신학교 뒤 녹지대,공중걷기 외6종,9,체육진흥과,053-665-3952,2022-06-13
119,대구광역시,북구,대구광역시 북구 대천로 7길 26 앞,현대아파트 앞 ,공중걷기 외2종,3,체육진흥과,053-665-3952,2022-06-13
120,대구광역시,북구,대구광역시 북구 대천로 13-17 맞은편,구수산공원 입구,공중걷기 외1종,2,체육진흥과,053-665-3952,2022-06-13
121,대구광역시,북구,대구광역시 북구 북구 대천로7길40 맞은편,예일유치원 맞은편,파도타기 외2종,4,체육진흥과,053-665-3952,2022-06-13
122,대구광역시,북구,대구광역시 북구 읍내동 1236,읍내동 벚꽃터널 내,공중걷기 외3종,4,체육진흥과,053-665-3952,2022-06-13
123,대구광역시,북구,대구광역시 북구 읍내동 1234-1,읍내동 팔거천변 동네체육(농원기술원 인근),공중걷기 외2종,3,체육진흥과,053-665-3952,2022-06-13
124,대구광역시,북구,대구광역시 북구 읍내동 1276,읍내동 동네체육시설,공중걷기 외3종,4,체육진흥과,053-665-3952,2022-06-13
125,대구광역시,북구,대구광역시 북구 읍내동 356-5,읍내동 녹지,허리돌리기,1,체육진흥과,053-665-3952,2022-06-13
126,대구광역시,북구,대구광역시 북구 칠성동1가 341-4 일원,철도변(칠성동) 녹지대,공중걷기 외6종,9,체육진흥과,053-665-3952,2022-06-13
127,대구광역시,북구,대구광역시 북구 칠성2가 656,칠성둔치 동네체육시설,파도타기 외11종,16,체육진흥과,053-665-3952,2022-06-13
128,대구광역시,북구,대구광역시 북구 칠성2가 717,칠성공원,허리돌리기 외 4종,5,체육진흥과,053-665-3952,2022-06-13
129,대구광역시,북구,대구광역시 북구 칠성2가 302-139,별별상상공원,공중걷기 외5종,6,체육진흥과,053-665-3952,2022-06-13
130,대구광역시,북구,대구광역시 북구 칠성남로41길 7-2,대구능금시장 고객문화센터,공중걷기 외3종,4,체육진흥과,053-665-3952,2022-06-13
131,대구광역시,북구,대구광역시 북구 침산동 산16-28,침산근린공원,공중걷기 외16종,54,체육진흥과,053-665-3952,2022-06-13
132,대구광역시,북구,대구광역시 북구 침산남로 195,침산2동 주민센터 쉄터,공중걷기 외2종,3,체육진흥과,053-665-3952,2022-06-13
133,대구광역시,북구,대구광역시 북구 침산남로31길 11(옥석타운 내),침산2동 경로당,공중걷기 외1종,2,체육진흥과,053-665-3952,2022-06-13
134,대구광역시,북구,대구광역시 북구 침산2동 211,칠성초등학교 동네체육,상체근육풀기 외2종,3,체육진흥과,053-665-3952,2022-06-13
135,대구광역시,북구,대구광역시 북구 침산2동 105-87,침산하늘채공원 체육시설,공중걷기 외3종,4,체육진흥과,053-665-3952,2022-06-13
136,대구광역시,북구,대구광역시 북구 침산동 335,침산변전소 동네체육시설,공중걷기 외8종,9,체육진흥과,053-665-3952,2022-06-13
137,대구광역시,북구,대구광역시 북구 침산동 400-4,대구일중학교,공중걷기 외4종,5,체육진흥과,053-665-3952,2022-06-13
138,대구광역시,북구,대구광역시 북구 침산동 1753,침산1공원(쌍용예가 공공 공지),공중걷기 외8종,9,체육진흥과,053-665-3952,2022-06-13
139,대구광역시,북구,대구광역시 북구 옥산로 75,북구도서관 서편화단,공중걷기 외2종,3,체육진흥과,053-665-3952,2022-06-13
140,대구광역시,북구,대구광역시 북구 태전동 938,태전근린공원,공중걷기 외14종,36,체육진흥과,053-665-3952,2022-06-13
141,대구광역시,북구,대구광역시 북구 태전1동881-23,태전동 동네체육시설,공중걷기 외3종,4,체육진흥과,053-665-3952,2022-06-13
142,대구광역시,북구,대구광역시 북구 태전1동 881-3,태전협화아파트동네체육시설,공중걷기 외1,2,체육진흥과,053-665-3952,2022-06-13
143,대구광역시,북구,대구광역시 북구 태전동 974,금정공원,공중걷기 외3종,4,체육진흥과,053-665-3952,2022-06-13
144,대구광역시,북구,대구광역시 북구 태전동 270-1 일원,태전동(은마아파트) 쉼터,공중걷기 외3종,4,체육진흥과,053-665-3952,2022-06-13
145,대구광역시,북구,대구광역시 북구 태전동 881-118 일원,태전동(협화맨션) 쉼터,공중걷기 외1,2,체육진흥과,053-665-3952,2022-06-13
146,대구광역시,북구,대구광역시 북구 태전동(구암동) 763-2관천초교 부근,관천동 동네체육시설,공중걷기 외12,21,체육진흥과,053-665-3952,2022-06-13
147,대구광역시,북구,대구광역시 북구 태전동 1085,태암 동네체육시설,공중걷기 외4종,5,체육진흥과,053-665-3952,2022-06-13
148,대구광역시,북구,대구광역시 북구 태전동 1075-52,태전동 배드민턴장,공중걷기 외11종,13,체육진흥과,053-665-3952,2022-06-13
149,대구광역시,북구,대구광역시 북구 태전동 1100-1,매천역 동네체육시설,공중걷기 외5종,13,체육진흥과,053-665-3952,2022-06-13
150,대구광역시,북구,대구광역시 북구 태전동 1027-1,새마을공원,공중걷기 외3종,4,체육진흥과,053-665-3952,2022-06-13
151,대구광역시,북구,대구광역시 북구 태전동 1046-1,샛별공원,공중걷기 외4종,5,체육진흥과,053-665-3952,2022-06-13
152,대구광역시,북구,대구광역시 북구 태전동 608-1,태전1공원,공중걷기 외2종,3,체육진흥과,053-665-3952,2022-06-13
153,대구광역시,북구,대구광역시 북구 태전동 1104,파란공원,공중걷기 외3종,4,체육진흥과,053-665-3952,2022-06-13
154,대구광역시,북구,대구광역시 북구 태전동 1151,아람공원,파도타기 외2종,3,체육진흥과,053-665-3952,2022-06-13
155,대구광역시,북구,대구광역시 북구 태전동 1105,도담한공원,공중걷기 외4종,5,체육진흥과,053-665-3952,2022-06-13
156,대구광역시,북구,대구광역시 북구 태전동 879-51,대고장 위,공중걷기 외6종,7,체육진흥과,053-665-3952,2022-06-13
157,대구광역시,북구,대구광역시 북구 태전동 629-8,팔거천 제방(부광교회 주차장 앞),공중걷기 외6종,7,체육진흥과,053-665-3952,2022-06-13
