관리번호,운동기구명,동시사용인원,운동기구설치일,공원관리번호,공원명,관리기관전화번호,관리기관명,데이터기준일자,안내판유무,운동기구시설상태,운동기구특성,운동기구수리필요,운동기구너비(W),운동기구길이(L),운동기구높이(H),KC인증유무,위치명,설치위치,위도,경도,도로명주소,지번주소,행정동,제조사이름,제조사주소,제조사전화번호,제조사팩스번호,제조사홈페이지,전경사진,안내판사진
"27230-00005-02-05-004","역기내(올)리기",2,"2010-05-01","27230-00005","관음공원","053-665-2864","대구광역시 북구청","2022-12-09","Y","보통","상체,허리,복부,다리,팔,심폐","N",0.70,1.85,2.05,"N","관음공원",11,35.935546875,128.5459136963,"대구광역시 북구 구암로 47","대구광역시 북구 관음동 1372","관음동","(주)케이엘에스","경기도 시흥시 정왕동 1371-2(시화공단 3마 103호)","02-2678-2673","","www.kls.or.kr","27230-00005-02-05-004-01.jpg","27230-00005-02-05-004-02.jpg"
"27140-00081-02-05-004","등허리지압",2,"2018-09-10","27140-00081","기상대기념공원","053-662-2863","대구광역시 동구청","2022-12-09","Y","보통","등,허리,다리","N",0.81,1.45,1.33,"N","기상대기념공원",12,35.8858909607,128.6184539795,,"대구광역시 동구 신암동 716-87","신암1동","(주)케이엘에스","경기도 시흥시 정왕동 1371-2(시화공단 3마 103호)","02-2678-2673","","","27140-00081-02-05-004-01.jpg","27140-00081-02-05-004-02.jpg"
"27290-00179-02-05-003","팔돌리기",2,"2021-11-22","27290-00179","두류공원","053-803-7480","대구광역시 두류공원관리사무소","2022-12-09","Y","보통","팔,어깨,옆구리","N",1.10,1.31,2.20,"N","두류공원",12,35.8534431458,128.5578918457,"","대구광역시 달서구 성당동 산 198-1","성당동","(주)디자인파크개발","서울시 강서구 마곡서로 133 (마곡엠밸리) 713동 404호 (주)디자인파크개발","02-2665-6006","","www.designpark.or.kr","27290-00179-02-05-003-01.jpg","27290-00179-02-05-003-02.jpg"
"27140-00081-02-05-005","파도타기",2,"2018-09-10","27140-00081","기상대기념공원","053-662-2863","대구광역시 동구청","2022-12-09","Y","보통","어깨,허리","N",0.93,1.16,1.36,"N","기상대기념공원",12,35.8857841492,128.618560791,,"대구광역시 동구 신암동 716-87","신암1동","(주)케이엘에스","경기도 시흥시 정왕동 1371-2(시화공단 3마 103호)","02-2678-2673","","www.kls.kr","27140-00081-02-05-005-01.jpg","27140-00081-02-05-005-02.jpg"
"27140-00081-02-05-006","오금펴기",2,"2018-09-10","27140-00081","기상대기념공원","053-662-2863","대구광역시 동구청","2022-12-09","Y","보통","다리,엉덩이","N",0.46,1.91,1.57,"N","기상대기념공원",12,35.8859062195,128.6185302734,,"대구광역시 동구 신암동 716-87","신암1동","(주)케이엘에스","경기도 시흥시 경제로 240(시화공단 3마 103호)","02-2678-2673","","www.kls.kr","27140-00081-02-05-006-01.jpg","27140-00081-02-05-006-02.jpg"
"27140-00081-02-05-007","공중걷기",1,"2018-09-10","27140-00081","기상대기념공원","053-662-2863","대구광역시 동구청","2022-12-09","Y","보통","다리","N",1.10,0.63,1.39,"N","기상대기념공원",12,35.8857421875,128.6186218262,,"대구광역시 동구 신암동 716-87","신암1동","(주)케이엘에스","경기도 시흥시 경제로 240(시화공단 3마 103호)","02-2678-2673","","www.kls.kr","27140-00081-02-05-007-01.jpg","27140-00081-02-05-007-02.jpg"
"27230-00005-02-05-005","팔돌리기",2,"2010-05-01","27230-00005","관음공원","053-665-2864","대구광역시 북구청","2022-12-09","Y","보통","어깨,허리,혈액순환","N",0.93,1.13,1.85,"N","관음공원",11,35.9354896545,128.5458984375,"대구광역시 북구 구암로 47","대구광역시 북구 관음동 1372","관음동","(주)케이엘에스","경기도 시흥시 정왕동 1371-2(시화공단 3마 103호)","02-2678-2673","","www.kls.or.kr","27230-00005-02-05-005-01.jpg","27230-00005-02-05-005-02.jpg"
"27290-00179-02-05-004","공중걷기",2,"2021-11-22","27290-00179","두류공원","053-803-7480","대구광역시 두류공원관리사무소","2022-12-09","Y","보통","심폐,하체","N",0.78,2.60,2.10,"N","두류공원",12,35.8533640385,128.55781456,"","대구광역시 달서구 성당동 산 198-1","성당동","(주)디자인파크개발","서울시 강서구 마곡서로 133 (마곡엠밸리) 713동 404호 (주)디자인파크개발","02-2665-6006","","www.designpark.or.kr","27290-00179-02-05-004-01.jpg","27290-00179-02-05-004-02.jpg"
"27200-00029-02-05-001","역기내(올)리기",2,"2021-06-30","27200-00029","앞산공원","053-803-7430","대구광역시 앞산공원관리사무소","2022-12-09","Y","보통","팔,등,심폐","N",0.74,2.17,2.25,"N","앞산공원",1,35.8323574133,128.5990928725,"","대구광역시 남구 대명동 산 227-5","대명9동","(주)공간파크","경상남도 창원시 의창구 창원대로 18번길 46","055-289-4722","","","27200-00029-02-05-001-01.jpg","27200-00029-02-05-001-02.jpg"
"27140-00081-02-05-008","달리기",1,"2018-09-10","27140-00081","기상대기념공원","053-662-2863","대구광역시 동구청","2022-12-09","Y","보통","어깨,엉덩이,다리","N",0.58,1.28,1.50,"N","기상대기념공원",12,35.8857154846,128.6186065674,,"대구광역시 동구 신암동 716-87","신암1동","(주)케이엘에스","경기도 시흥시 정왕동 1371-2(시화공단 3마 103호)","02-2678-2673","","","27140-00081-02-05-008-01.jpg","27140-00081-02-05-008-02.jpg"
"27140-00081-02-05-009","윗몸일으키기",2,"2018-09-10","27140-00081","기상대기념공원","053-662-2863","대구광역시 동구청","2022-12-09","Y","양호","복근","N",1.39,1.11,0.61,"N","기상대기념공원",12,35.885761261,128.618560791,,"대구광역시 동구 신암동 716-87","신암1동","(주)케이엘에스","경기도 시흥시 경제로 240(시화공단 3마 103호)","02-2678-2673","","","27140-00081-02-05-009-01.jpg","27140-00081-02-05-009-02.jpg"
"27200-00029-02-05-002","달리기",2,"2021-06-30","27200-00029","앞산공원","053-803-7430","대구광역시 앞산공원관리사무소","2022-12-09","Y","보통","심폐,상체,하체,허리,팔,다리","N",0.57,3.17,2.22,"N","앞산공원",1,35.832392398,128.599097946,"","대구광역시 남구 대명동 산 227-5","대명9동","(주)공간파크","경상남도 창원시 의창구 창원대로 18번길 46","055-289-4722","","","27200-00029-02-05-002-01.jpg","27200-00029-02-05-002-02.jpg"
"27260-00076-02-05-005","자전거",2,"2010-05-01","27260-00076","지산공원","053-666-2865","대구광역시 수성구청","2022-12-09","Y","양호","하체","N",0.79,1.90,1.96,"N","지산공원",12,35.8214530945,128.6376800537,"","대구광역시 수성구 지산동 1274","지산2동","나우스포츠메디칼","경북 경산시 압량면 의송길 18길 2","053-812-0132","053-812-0133","www.nowsports.co.kr","27260-00076-02-05-005-01.jpg","27260-00076-02-05-005-02.jpg"
"27290-00179-02-05-005","자전거",2,"2021-11-22","27290-00179","두류공원","053-803-7480","대구광역시 두류공원관리사무소","2022-12-09","Y","보통","심폐,하체","N",0.70,2.56,1.90,"Y","두류공원",12,35.8532218933,128.557800293,"","대구광역시 달서구 성당동 산 198-1","성당동","(주)디자인파크개발","경기도 김포시 통진읍 옹정로 46-40","1577-0343","","www.designpark.or.kr","27290-00179-02-05-005-01.jpg","27290-00179-02-05-005-02.jpg"
"27260-00076-02-05-006","팔돌리기",2,"2010-05-01","27260-00076","지산공원","053-666-2865","대구광역시 수성구청","2022-12-09","Y","양호","어깨,손목,팔꿈치","N",1.22,1.81,2.03,"N","지산공원",12,35.8213348389,128.6378631592,"","대구광역시 수성구 지산동 1274","지산2동","(주)에이치앤에스스포메딕","대구광역시 동구 율하동로 17길 46, 305호","053-817-4451","053-813-4452","","27260-00076-02-05-006-01.jpg","27260-00076-02-05-006-02.jpg"
"27290-00179-02-05-006","거꾸로 매달리기",1,"2021-11-22","27290-00179","두류공원","053-803-7480","대구광역시 두류공원관리사무소","2022-12-09","Y","보통","머리,심장,혈액순환","N",0.73,1.30,1.68,"N","두류공원",12,35.8532028198,128.5577697754,"","대구광역시 달서구 성당동 산 198-1","성당동","(주)디자인파크개발","서울시 강서구 마곡서로 133 (마곡엠밸리) 713동 404호 (주)디자인파크개발","02-2665-6006","","www.designpark.or.kr","27290-00179-02-05-006-01.jpg","27290-00179-02-05-006-02.jpg"
"27290-00179-02-05-007","역기내(올)리기",2,"2021-11-22","27290-00179","두류공원","053-803-7480","대구광역시 두류공원관리사무소","2022-12-09","Y","보통","팔,가슴","N",0.77,2.03,2.10,"Y","두류공원",12,35.8532829285,128.5578918457,"","대구광역시 달서구 성당동 산 198-1","성당동","(주)디자인파크개발","서울시 강서구 마곡서로 133 (마곡엠밸리) 713동 404호 (주)디자인파크개발","02-2665-6006","","www.designpark.or.kr","27290-00179-02-05-007-01.jpg","27290-00179-02-05-007-02.jpg"
"27260-00076-02-05-007","기타",2,"2010-05-01","27260-00076","지산공원","053-666-2865","대구광역시 수성구청","2022-12-09","Y","양호","어깨,팔","N",0.58,1.46,1.98,"N","지산공원",12,35.8214302063,128.6377105713,"","대구광역시 수성구 지산동 1274","지산2동","(주)삼형스포메디","경상북도 경산시 압량면 신대길 26","053-963-7072","053-963-7073","www.samhyung.co.kr","27260-00076-02-05-007-01.jpg","27260-00076-02-05-007-02.jpg"
"27290-00179-02-05-008","달리기",2,"2021-11-22","27290-00179","두류공원","053-803-7480","대구광역시 두류공원관리사무소","2022-12-09","Y","보통","심폐,상체,하체,허리,팔,다리","N",0.78,3.88,2.15,"Y","두류공원",12,35.8532295227,128.5578918457,"","대구광역시 달서구 성당동 산 198-1","성당동","(주)디자인파크개발","서울시 강서구 마곡서로 133 (마곡엠밸리) 713동 404호 (주)디자인파크개발","02-2665-6006","","www.designpark.or.kr","27290-00179-02-05-008-01.jpg","27290-00179-02-05-008-02.jpg"
"27140-00081-02-05-010","노젓기",1,"2018-09-10","27140-00081","기상대기념공원","053-662-2863","대구광역시 동구청","2022-12-09","Y","보통","복부,등,다리,엉덩이","N",0.54,0.98,1.00,"N","기상대기념공원",12,35.8857307434,128.6185760498,,"대구광역시 동구 신암동 716-87","신암1동","(주)케이엘에스","경기도 시흥시 경제로 240(시화공단 3마 103호)","02-2678-2673","","www.kls.kr","27140-00081-02-05-010-01.jpg","27140-00081-02-05-010-02.jpg"
"27200-00029-02-05-003","팔돌리기",2,"2021-06-30","27200-00029","앞산공원","053-803-7430","대구광역시 앞산공원관리사무소","2022-12-09","Y","보통","팔,어깨","N",0.94,1.15,2.22,"N","앞산공원",1,35.8324178338,128.5990900658,"","대구광역시 남구 대명동 산 227-5","대명9동","(주)공간파크","경상남도 밀양시 삼랑진읍 미율로 394-14","055-289-4722","","","27200-00029-02-05-003-01.jpg","27200-00029-02-05-003-02.jpg"
"27260-00076-02-05-008","역기내(올)리기",2,"2010-05-01","27260-00076","지산공원","053-666-2865","대구광역시 수성구청","2022-12-09","Y","양호","가슴,어깨,복부,팔","N",0.74,2.56,2.04,"N","지산공원",12,35.8213539124,128.6378326416,"","대구광역시 수성구 지산동 1274","지산2동","(주)에이치앤에스스포메딕","대구광역시 동구 율하동로 143, 가동 지하층 261호, 270호","053-817-4451","053-813-4452","www.야외운동기구.com","27260-00076-02-05-008-01.jpg","27260-00076-02-05-008-02.jpg"
"27290-00179-02-05-009","복합운동기구",2,"2021-11-22","27290-00179","두류공원","053-803-7480","대구광역시 두류공원관리사무소","2022-12-09","Y","보통","팔,가슴/팔,등","N",0.76,2.14,2.13,"N","두류공원",12,35.8531799316,128.557723999,"","대구광역시 달서구 성당동 산 198-1","성당동","(주)디자인파크개발","서울시 강서구 마곡서로 133 (마곡엠밸리) 713동 404호 (주)디자인파크개발","02-2665-6006","","www.designpark.or.kr","27290-00179-02-05-009-01.jpg","27290-00179-02-05-009-02.jpg"
"27290-00179-02-05-010","파도타기",2,"2021-11-22","27290-00179","두류공원","053-803-7480","대구광역시 두류공원관리사무소","2022-12-09","Y","보통","허리,옆구리,심폐","N",0.83,1.77,2.15,"N","두류공원",12,35.8533363342,128.5577850342,"","대구광역시 달서구 성당동 산 198-1","성당동","(주)디자인파크개발","서울시 강서구 마곡서로 133 (마곡엠밸리) 713동 404호 (주)디자인파크개발","02-2665-6006","","www.designpark.or.kr","27290-00179-02-05-010-01.jpg","27290-00179-02-05-010-02.jpg"
"27290-00179-02-05-011","허리돌리기",2,"2021-11-22","27290-00179","두류공원","053-803-7480","대구광역시 두류공원관리사무소","2022-12-09","Y","양호","허리,옆구리,발","N",0.78,1.58,2.10,"N","두류공원",12,35.8535575867,128.5577850342,"","대구광역시 달서구 성당동 산 198-1","성당동","(주)디자인파크개발","서울시 강서구 마곡서로 133 (마곡엠밸리) 713동 404호 (주)디자인파크개발","02-2665-6006","","www.designpark.or.kr","27290-00179-02-05-011-01.jpg","27290-00179-02-05-011-02.jpg"
"27290-00179-02-05-012","등허리지압",2,"2021-11-22","27290-00179","두류공원","053-803-7480","대구광역시 두류공원관리사무소","2022-12-09","Y","보통","허리,등","N",0.80,1.55,2.08,"N","두류공원",12,35.8535270691,128.5578613281,"","대구광역시 달서구 성당동 산 198-1","성당동","(주)디자인파크개발","서울시 강서구 마곡서로 133 (마곡엠밸리) 713동 404호 (주)디자인파크개발","02-2665-6006","","www.designpark.or.kr","27290-00179-02-05-012-01.jpg","27290-00179-02-05-012-02.jpg"
"27200-00029-02-05-004","자전거",2,"2021-06-30","27200-00029","앞산공원","053-803-7430","대구광역시 앞산공원관리사무소","2022-12-09","Y","보통","심폐,다리","N",0.76,2.44,2.22,"N","앞산공원",1,35.8324440404,128.5991018608,"","대구광역시 남구 대명동 산 227-5","대명9동","(주)공간파크","경상남도 창원시 의창구 창원대로 18번길 46","055-289-4722","","","27200-00029-02-05-004-01.jpg","27200-00029-02-05-004-02.jpg"
"27260-00076-02-05-009","팔돌리기",2,"2010-05-01","27260-00076","지산공원","053-666-2865","대구광역시 수성구청","2022-12-09","Y","양호","어깨,허리","N",1.02,1.24,1.97,"N","지산공원",12,35.8214111328,128.6377410889,"","대구광역시 수성구 지산동 1274","지산2동","(주)삼형스포메디","경상북도 경산시 압량면 신대길 26","053-963-7072","053-963-7073","www.samhyung.co.kr","27260-00076-02-05-009-01.jpg","27260-00076-02-05-009-02.jpg"
"27290-00179-02-05-013","오금펴기",2,"2021-11-22","27290-00179","두류공원","053-803-7480","대구광역시 두류공원관리사무소","2022-12-09","Y","보통","하체","N",0.78,2.00,2.08,"N","두류공원",12,35.8535575867,128.5578308105,"","대구광역시 달서구 성당동 산 198-1","성당동","(주)디자인파크개발","서울특별시 강서구 공항대로69 KT공항지점 2층","02-2665-6006","","www.designpark.or.kr ","27290-00179-02-05-013-01.jpg","27290-00179-02-05-013-02.jpg"
"27230-00005-02-05-006","오금펴기",2,"2010-05-01","27230-00005","관음공원","053-665-2864","대구광역시 북구청","2022-12-09","Y","보통","하체,복근,허벅지,무릎","N",0.42,1.87,1.97,"N","관음공원",11,35.9356079102,128.5459136963,"대구광역시 북구 구암로 47","대구광역시 북구 관음동 1372","관음동","(주)케이엘에스","경기도 시흥시 정왕동 1371-2(시화공단 3마 103호)","02-2678-2673","","","27230-00005-02-05-006-01.jpg","27230-00005-02-05-006-02.jpg"
"27200-00029-02-05-005","공중걷기",2,"2021-06-30","27200-00029","앞산공원","053-803-7430","대구광역시 앞산공원관리사무소","2022-12-09","Y","보통","엉덩이,허리,골반,심폐","N",0.72,2.58,2.22,"N","앞산공원",1,35.8324356079,128.5991516113,"","대구광역시 남구 대명동 산 227-5","대명9동","(주)공간파크","경상남도 창원시 의창구 창원대로 18번길 46","055-289-4722","","","27200-00029-02-05-005-01.jpg","27200-00029-02-05-005-02.jpg"
"27230-00005-02-05-007","파도타기",2,"2010-05-01","27230-00005","관음공원","053-665-2864","대구광역시 북구청","2022-12-09","Y","보통","허리,팔,심폐,혈관순환,소화기계통,요추","N",0.93,1.70,1.96,"N","관음공원",11,35.9356307983,128.5459289551,"대구광역시 북구 구암로 47","대구광역시 북구 관음동 1372","관음동","(주)케이엘에스","경기도 시흥시 정왕동 1371-2(시화공단 3마 103호)","02-2678-2673","","","27230-00005-02-05-007-01.jpg","27230-00005-02-05-007-02.jpg"
"27260-00076-02-05-010","달리기",2,"2010-05-01","27260-00076","지산공원","053-666-2865","대구광역시 수성구청","2022-12-09","Y","양호","심폐,하체,허리,팔,다리","N",0.65,3.24,2.03,"N","지산공원",12,35.8213691711,128.637802124,"","대구광역시 수성구 지산동 1274","지산2동","(주)에이치앤에스스포메딕","대구광역시 동구 율하동로 143, 가동 지하층 261호, 270호","053-817-4451","053-813-4452","www.야외운동기구.com","27260-00076-02-05-010-01.jpg","27260-00076-02-05-010-02.jpg"
"27260-00076-02-05-011","윗몸일으키기",2,"2010-05-01","27260-00076","지산공원","053-666-2865","대구광역시 수성구청","2022-12-09","Y","양호","복부,허리","N",1.45,1.72,2.03,"N","지산공원",12,35.8213043213,128.6376953125,"","대구광역시 수성구 지산동 1274","지산2동","(주)에이치앤에스스포메딕","대구광역시 동구 율하동로 143, 가동 지하층 261호, 270호","053-817-4451","053-813-4452","www.야외운동기구.com","27260-00076-02-05-011-01.jpg","27260-00076-02-05-011-02.jpg"
"27260-00076-02-05-012","거꾸로 매달리기",1,"2010-05-01","27260-00076","지산공원","053-666-2865","대구광역시 수성구청","2022-12-09","Y","양호","머리,심장","N",0.72,1.43,1.72,"N","지산공원",12,35.8213920593,128.6377716064,"","대구광역시 수성구 지산동 1274","지산2동","(주)디자인파크개발","서울특별시 강서구 공항동 11-10 (주)케이티공항사옥2층","02-2665-6006","02-706-9773","www.dp566.com","27260-00076-02-05-012-01.jpg","27260-00076-02-05-012-02.jpg"
"27200-00029-02-05-006","거꾸로 매달리기",1,"2021-06-30","27200-00029","앞산공원","053-803-7430","대구광역시 앞산공원관리사무소","2022-12-09","Y","보통","머리,심장,혈액순환","N",0.74,1.20,1.79,"N","앞산공원",1,35.8324250111,128.5991189033,"","대구광역시 남구 대명동 산 227-5","대명9동","(주)공간파크","경남 밀양시 삼랑진읍 미율로 394-14번지","055-353-4722","","","27200-00029-02-05-006-01.jpg","27200-00029-02-05-006-02.jpg"
"27200-00029-02-05-007","역기내(올)리기",2,"2021-06-30","27200-00029","앞산공원","053-803-7430","대구광역시 앞산공원관리사무소","2022-12-09","Y","보통","팔,가슴","N",0.73,2.15,2.22,"N","앞산공원",1,35.8324050903,128.5991516113,"","대구광역시 남구 대명동 산 227-5","대명9동","(주)공간파크","경상남도 창원시 의창구 창원대로 18번길 46","055-289-4722","","","27200-00029-02-05-007-01.jpg","27200-00029-02-05-007-02.jpg"
"27230-00005-02-05-008","역기내(올)리기",2,"2010-05-01","27230-00005","관음공원","053-665-2864","대구광역시 북구청","2022-12-09","Y","보통","상체,하체,어깨,팔,팔꿈치","N",0.73,2.45,2.08,"N","관음공원",11,35.9356651306,128.5459594727,"대구광역시 북구 구암로 47","대구광역시 북구 관음동 1372","관음동","SunParkSports","","053-357-3855","","www.sunchair.co.kr","27230-00005-02-05-008-01.jpg","27230-00005-02-05-008-02.jpg"
"27200-00029-02-05-008","허리돌리기",2,"2021-06-30","27200-00029","앞산공원","053-803-7430","대구광역시 앞산공원관리사무소","2022-12-09","Y","보통","허리","N",0.86,2.09,2.22,"N","앞산공원",1,35.8323798948,128.5991396755,"","대구광역시 남구 대명동 산 227-5","대명9동","(주)공간파크","경상남도 창원시 의창구 창원대로 18번길 46","055-289-4722","","","27200-00029-02-05-008-01.jpg","27200-00029-02-05-008-02.jpg"
"27200-00029-02-05-009","파도타기",2,"2021-06-30","27200-00029","앞산공원","053-803-7430","대구광역시 앞산공원관리사무소","2022-12-09","Y","보통","복부,허리,심폐","N",0.86,1.67,2.22,"N","앞산공원",1,35.8323460883,128.5991308286,"","대구광역시 남구 대명동 산 227-5","대명9동","(주)공간파크","경상남도 창원시 의창구 창원대로 18번길 46","055-289-4722","","","27200-00029-02-05-009-01.jpg","27200-00029-02-05-009-02.jpg"
"27260-00076-02-05-013","역기내(올)리기",2,"2010-05-01","27260-00076","지산공원","053-666-2865","대구광역시 수성구청","2022-12-09","Y","양호","등,어깨,팔,가슴,복부","N",0.80,2.45,2.03,"N","지산공원",12,35.8213233948,128.6377258301,"","대구광역시 수성구 지산동 1274","지산2동","(주)에이치앤에스스포메딕","대구광역시 동구 율하동로 143, 가동 지하층 261호, 270호","053-817-4451","053-813-4452","www.야외운동기구.com","27260-00076-02-05-013-01.jpg","27260-00076-02-05-013-02.jpg"
"27290-00179-02-05-014","파도타기",2,"2021-11-22","27290-00179","두류공원","053-803-7480","대구광역시 두류공원관리사무소","2022-12-09","N","보통","허리,옆구리","N",0.88,1.05,1.28,"N","두류공원",12,35.8538856506,128.5589904785,"","대구광역시 달서구 성당동 산 198-1","성당동","DesignPark","","","","","27290-00179-02-05-014-01.jpg","27290-00179-02-05-014-02.jpg"
"27290-00179-02-05-015","공중걷기",1,"2021-11-22","27290-00179","두류공원","053-803-7480","대구광역시 두류공원관리사무소","2022-12-09","N","보통","심폐,하체","N",1.09,0.40,1.37,"N","두류공원",12,35.8538513184,128.5590209961,"","대구광역시 달서구 성당동 산 198-1","성당동","DesignPark","","","","","27290-00179-02-05-015-01.jpg","27290-00179-02-05-015-02.jpg"
"27290-00179-02-05-016","역기내(올)리기",2,"2021-11-22","27290-00179","두류공원","053-803-7480","대구광역시 두류공원관리사무소","2022-12-09","N","보통","팔,등","N",0.65,2.17,1.76,"N","두류공원",12,35.8538208008,128.5590515137,"","대구광역시 달서구 성당동 산 198-1","성당동","DesignPark","","","","","27290-00179-02-05-016-01.jpg","27290-00179-02-05-016-02.jpg"
