표찰번호,체육시설명,운동기구명,소재지도로명주소,소재지지번주소,전화번호,관리기관,위도,경도,데이터기준일자
고제면12-2,원기마을체육시설,레그프레스,경상남도 거창군 고제면 원기길 72,경상남도 거창군 고제면 봉계리 678-1,055-940-8720,경상남도 거창군 체육시설사업소,35.89113997,127.8715298,2023-03-31
고제면12-1,원기마을체육시설,트위스트,경상남도 거창군 고제면 원기길 72,경상남도 거창군 고제면 봉계리 678-1,055-940-8720,경상남도 거창군 체육시설사업소,35.89113997,127.8715298,2023-03-31
고제면13-3,삼포마을체육시설,스윙워커,,경상남도 거창군 고제면 개명리 1845,055-940-8720,경상남도 거창군 체육시설사업소,35.84619871,127.8376685,2023-03-31
고제면13-2,삼포마을체육시설,워킹트레이너,,경상남도 거창군 고제면 개명리 1845,055-940-8720,경상남도 거창군 체육시설사업소,35.84619871,127.8376685,2023-03-31
고제면13-1,삼포마을체육시설,트위스트,,경상남도 거창군 고제면 개명리 1845,055-940-8720,경상남도 거창군 체육시설사업소,35.84619871,127.8376685,2023-03-31
고제면13-4,삼포마을체육시설,싣업,,경상남도 거창군 고제면 개명리 1845,055-940-8720,경상남도 거창군 체육시설사업소,35.84619871,127.8376685,2023-03-31
고제면14-1,수유마을체육시설,트위스트,,경상남도 거창군 고제면 개명리 산 68-7,055-940-8720,경상남도 거창군 체육시설사업소,35.83217625,127.8505426,2023-03-31
고제면14-2,수유마을체육시설,싸이클,,경상남도 거창군 고제면 개명리 산 68-7,055-940-8720,경상남도 거창군 체육시설사업소,35.83217625,127.8505426,2023-03-31
고제면15-5,둔기마을체육시설,오버헤드폴리,,경상남도 거창군 고제면 봉산리 818-1,055-940-8720,경상남도 거창군 체육시설사업소,35.85268422,127.8771708,2023-03-31
고제면15-4,둔기마을체육시설,써핑롤링,,경상남도 거창군 고제면 봉산리 818-1,055-940-8720,경상남도 거창군 체육시설사업소,35.85268422,127.8771708,2023-03-31
고제면15-3,둔기마을체육시설,트위스트,,경상남도 거창군 고제면 봉산리 818-1,055-940-8720,경상남도 거창군 체육시설사업소,35.85268422,127.8771708,2023-03-31
고제면15-2,둔기마을체육시설,스윙워커,,경상남도 거창군 고제면 봉산리 818-1,055-940-8720,경상남도 거창군 체육시설사업소,35.85268422,127.8771708,2023-03-31
고제면15-1,둔기마을체육시설,큰활차+작은활차,,경상남도 거창군 고제면 봉산리 818-1,055-940-8720,경상남도 거창군 체육시설사업소,35.85268422,127.8771708,2023-03-31
고제면16-3,원봉계마을체육시설,큰활차+작은활차,경상남도 거창군 고제면 원봉계길 86,경상남도 거창군 고제면 봉계리 355-5,055-940-8720,경상남도 거창군 체육시설사업소,35.87254176,127.8748814,2023-03-31
고제면16-2,원봉계마을체육시설,트위스트,경상남도 거창군 고제면 원봉계길 86,경상남도 거창군 고제면 봉계리 355-5,055-940-8720,경상남도 거창군 체육시설사업소,35.87254176,127.8748814,2023-03-31
고제면16-1,원봉계마을체육시설,스윙워커,경상남도 거창군 고제면 원봉계길 86,경상남도 거창군 고제면 봉계리 355-5,055-940-8720,경상남도 거창군 체육시설사업소,35.87254176,127.8748814,2023-03-31
고제면17-5,원궁항마을체육시설(2),스윙워커,경상남도 거창군 고제면 상궁항길 9-10,경상남도 거창군 고제면 궁항리 2024,055-940-8720,경상남도 거창군 체육시설사업소,35.83066675,127.8862058,2023-03-31
고제면17-4,원궁항마을체육시설(2),거꾸리,경상남도 거창군 고제면 상궁항길 9-10,경상남도 거창군 고제면 궁항리 2024,055-940-8720,경상남도 거창군 체육시설사업소,35.83066675,127.8862058,2023-03-31
고제면17-3,원궁항마을체육시설(2),트위스트,경상남도 거창군 고제면 상궁항길 9-10,경상남도 거창군 고제면 궁항리 2024,055-940-8720,경상남도 거창군 체육시설사업소,35.83066675,127.8862058,2023-03-31
고제면17-2,원궁항마을체육시설(2),작은활차,경상남도 거창군 고제면 상궁항길 9-10,경상남도 거창군 고제면 궁항리 2024,055-940-8720,경상남도 거창군 체육시설사업소,35.83066675,127.8862058,2023-03-31
고제면17-1,원궁항마을체육시설(2),스윙워커,경상남도 거창군 고제면 상궁항길 9-10,경상남도 거창군 고제면 궁항리 2024,055-940-8720,경상남도 거창군 체육시설사업소,35.83066675,127.8862058,2023-03-31
북상면1-2,농산리체육시설,차닝,경상남도 거창군 북상면 송계로 731-42,경상남도 거창군 북상면 농산리 361,055-940-8720,경상남도 거창군 체육시설사업소,35.77902344,127.8160599,2023-03-31
북상면1-1,농산리체육시설,오버헤드폴리,경상남도 거창군 북상면 송계로 731-42,경상남도 거창군 북상면 농산리 361,055-940-8720,경상남도 거창군 체육시설사업소,35.77902344,127.8160599,2023-03-31
북상면1-3,농산리체육시설,거꾸리,경상남도 거창군 북상면 송계로 731-42,경상남도 거창군 북상면 농산리 361,055-940-8720,경상남도 거창군 체육시설사업소,35.77902344,127.8160599,2023-03-31
북상면1-4,농산리체육시설,롤러마사지,경상남도 거창군 북상면 송계로 731-42,경상남도 거창군 북상면 농산리 361,055-940-8720,경상남도 거창군 체육시설사업소,35.77902344,127.8160599,2023-03-31
북상면1-5,농산리체육시설,체스트업,경상남도 거창군 북상면 송계로 731-42,경상남도 거창군 북상면 농산리 361,055-940-8720,경상남도 거창군 체육시설사업소,35.77902344,127.8160599,2023-03-31
북상면1-6,농산리체육시설,트위스트,경상남도 거창군 북상면 송계로 731-42,경상남도 거창군 북상면 농산리 361,055-940-8720,경상남도 거창군 체육시설사업소,35.77902344,127.8160599,2023-03-31
북상면1-7,농산리체육시설,써핑롤링,경상남도 거창군 북상면 송계로 731-42,경상남도 거창군 북상면 농산리 361,055-940-8720,경상남도 거창군 체육시설사업소,35.77902344,127.8160599,2023-03-31
북상면2-4,월성리체육시설,스윙워커,경상남도 거창군 북상면 달맞이길 6,경상남도 거창군 북상면 월성리 1867,055-940-8720,경상남도 거창군 체육시설사업소,35.76374253,127.7428617,2023-03-31
북상면2-2,월성리체육시설,트위스트,경상남도 거창군 북상면 달맞이길 6,경상남도 거창군 북상면 월성리 1867,055-940-8720,경상남도 거창군 체육시설사업소,35.76374253,127.7428617,2023-03-31
북상면2-1,월성리체육시설,체스트업,경상남도 거창군 북상면 달맞이길 6,경상남도 거창군 북상면 월성리 1867,055-940-8720,경상남도 거창군 체육시설사업소,35.76374253,127.7428617,2023-03-31
북상면2-4,월성리체육시설,디핑,경상남도 거창군 북상면 달맞이길 6,경상남도 거창군 북상면 월성리 1867,055-940-8720,경상남도 거창군 체육시설사업소,35.76374253,127.7428617,2023-03-31
북상면3-2,갈항마을체육시설,스윙워커,경상남도 거창군 북상면 갈항재들길 109,경상남도 거창군 북상면 소정리 770,055-940-8720,경상남도 거창군 체육시설사업소,35.8245018,127.8135893,2023-03-31
북상면3-3,갈항마을체육시설,작은활차,경상남도 거창군 북상면 갈항재들길 109,경상남도 거창군 북상면 소정리 770,055-940-8720,경상남도 거창군 체육시설사업소,35.8245018,127.8135893,2023-03-31
북상면3-1,갈항마을체육시설,트위스트,경상남도 거창군 북상면 갈항재들길 109,경상남도 거창군 북상면 소정리 770,055-940-8720,경상남도 거창군 체육시설사업소,35.8245018,127.8135893,2023-03-31
북상면3-4,갈항마을체육시설,써핑롤링,경상남도 거창군 북상면 갈항재들길 109,경상남도 거창군 북상면 소정리 770,055-940-8720,경상남도 거창군 체육시설사업소,35.8245018,127.8135893,2023-03-31
북상면5-2,당산마을체육시설,써핑롤링,경상남도 거창군 북상면 당산말길 73-2,경상남도 거창군 북상면 소정리 1256-3,055-940-8720,경상남도 거창군 체육시설사업소,35.83083178,127.8092499,2023-03-31
북상면5-3,당산마을체육시설,롤러마사지,경상남도 거창군 북상면 당산말길 73-2,경상남도 거창군 북상면 소정리 1256-3,055-940-8720,경상남도 거창군 체육시설사업소,35.83083178,127.8092499,2023-03-31
북상면5-4,당산마을체육시설,트위스트,경상남도 거창군 북상면 당산말길 73-2,경상남도 거창군 북상면 소정리 1256-3,055-940-8720,경상남도 거창군 체육시설사업소,35.83083178,127.8092499,2023-03-31
북상면5-1,당산마을체육시설,스윙워커,경상남도 거창군 북상면 당산말길 73-2,경상남도 거창군 북상면 소정리 1256-3,055-940-8720,경상남도 거창군 체육시설사업소,35.83083178,127.8092499,2023-03-31
북상면7-3,갈계마을체육시설,써핑롤링,경상남도 거창군 북상면 치내길 40,경상남도 거창군 북상면 갈계리 1416,055-940-8720,경상남도 거창군 체육시설사업소,35.78019848,127.8201793,2023-03-31
북상면7-2,갈계마을체육시설,트위스트,경상남도 거창군 북상면 치내길 40,경상남도 거창군 북상면 갈계리 1416,055-940-8720,경상남도 거창군 체육시설사업소,35.78019848,127.8201793,2023-03-31
북상면7-1,갈계마을체육시설,스윙워커,경상남도 거창군 북상면 치내길 40,경상남도 거창군 북상면 갈계리 1416,055-940-8720,경상남도 거창군 체육시설사업소,35.78019848,127.8201793,2023-03-31
북상면8-1,가곡마을체육시설,써핑롤링,경상남도 거창군 북상면 병곡길 113,경상남도 거창군 북상면 병곡리 68-2,055-940-8720,경상남도 거창군 체육시설사업소,35.78678057,127.7947199,2023-03-31
북상면8-2,가곡마을체육시설,스윙워커,경상남도 거창군 북상면 병곡길 113,경상남도 거창군 북상면 병곡리 68-2,055-940-8720,경상남도 거창군 체육시설사업소,35.78678057,127.7947199,2023-03-31
북상면8-3,가곡마을체육시설,트위스트,경상남도 거창군 북상면 병곡길 113,경상남도 거창군 북상면 병곡리 68-2,055-940-8720,경상남도 거창군 체육시설사업소,35.78678057,127.7947199,2023-03-31
북상면9-2,중산마을체육시설,트위스트,,경상남도 거창군 북상면 갈계리 424-3,055-940-8720,경상남도 거창군 체육시설사업소,35.80089208,127.813113,2023-03-31
북상면9-1,중산마을체육시설,작은활차,,경상남도 거창군 북상면 갈계리 424-3,055-940-8720,경상남도 거창군 체육시설사업소,35.80089208,127.813113,2023-03-31
북상면9-5,중산마을체육시설,워킹트레이너,,경상남도 거창군 북상면 갈계리 424-3,055-940-8720,경상남도 거창군 체육시설사업소,35.80089208,127.813113,2023-03-31
북상면9-4,중산마을체육시설,큰활차,,경상남도 거창군 북상면 갈계리 424-3,055-940-8720,경상남도 거창군 체육시설사업소,35.80089208,127.813113,2023-03-31
북상면9-3,중산마을체육시설,레그프레스,,경상남도 거창군 북상면 갈계리 424-3,055-940-8720,경상남도 거창군 체육시설사업소,35.80089208,127.813113,2023-03-31
북상면10-1,병곡마을체육시설,체스트다운,,경상남도 거창군 북상면 병곡리 768-8,055-940-8720,경상남도 거창군 체육시설사업소,35.8102725,127.7749472,2023-03-31
북상면10-2,병곡마을체육시설,스윙워커,,경상남도 거창군 북상면 병곡리 768-8,055-940-8720,경상남도 거창군 체육시설사업소,35.8102725,127.7749472,2023-03-31
북상면10-3,병곡마을체육시설,작은활차,,경상남도 거창군 북상면 병곡리 768-8,055-940-8720,경상남도 거창군 체육시설사업소,35.8102725,127.7749472,2023-03-31
북상면10-4,병곡마을체육시설,트위스트,,경상남도 거창군 북상면 병곡리 768-8,055-940-8720,경상남도 거창군 체육시설사업소,35.8102725,127.7749472,2023-03-31
북상면11-3,창선마을체육시설,작은활차,경상남도 거창군 북상면 창선길 75-6,경상남도 거창군 북상면 창선리 339,055-940-8720,경상남도 거창군 체육시설사업소,35.7630397,127.7779239,2023-03-31
북상면11-2,창선마을체육시설,써핑롤링,경상남도 거창군 북상면 창선길 75-6,경상남도 거창군 북상면 창선리 339,055-940-8720,경상남도 거창군 체육시설사업소,35.7630397,127.7779239,2023-03-31
북상면11-1,창선마을체육시설,체스트다운,경상남도 거창군 북상면 창선길 75-6,경상남도 거창군 북상면 창선리 339,055-940-8720,경상남도 거창군 체육시설사업소,35.7630397,127.7779239,2023-03-31
북상면12-1,산수마을체육시설,써핑롤링,경상남도 거창군 북상면 산수길 13,경상남도 거창군 북상면 산수리 679-4,055-940-8720,경상남도 거창군 체육시설사업소,35.79529575,127.7588674,2023-03-31
북상면12-2,산수마을체육시설,큰활차,경상남도 거창군 북상면 산수길 13,경상남도 거창군 북상면 산수리 679-4,055-940-8720,경상남도 거창군 체육시설사업소,35.79529575,127.7588674,2023-03-31
북상면12-3,산수마을체육시설,싸이클,경상남도 거창군 북상면 산수길 13,경상남도 거창군 북상면 산수리 679-4,055-940-8720,경상남도 거창군 체육시설사업소,35.79529575,127.7588674,2023-03-31
북상면13-2,학현마을체육시설,체스트다운,경상남도 거창군 북상면 학현길 21-5,경상남도 거창군 북상면 산수리 584,055-940-8720,경상남도 거창군 체육시설사업소,35.7982782,127.7607112,2023-03-31
북상면13-1,학현마을체육시설,큰활차,경상남도 거창군 북상면 학현길 21-5,경상남도 거창군 북상면 산수리 584,055-940-8720,경상남도 거창군 체육시설사업소,35.7982782,127.7607112,2023-03-31
북상면14-1,하창선마을체육시설,써핑롤링,경상남도 거창군 북상면 덕유월성로 1953-4,경상남도 거창군 북상면 창선리 24-2,055-940-8720,경상남도 거창군 체육시설사업소,35.77174144,127.7854285,2023-03-31
북상면14-2,하창선마을체육시설,오버헤드폴리,경상남도 거창군 북상면 덕유월성로 1953-4,경상남도 거창군 북상면 창선리 24-2,055-940-8720,경상남도 거창군 체육시설사업소,35.77174144,127.7854285,2023-03-31
북상면15-1,강선대마을체육시설,트위스트,,경상남도 거창군 북상면 농산리 499-4,055-940-8720,경상남도 거창군 체육시설사업소,35.77246504,127.8065175,2023-03-31
북상면15-2,강선대마을체육시설,작은활차,,경상남도 거창군 북상면 농산리 499-4,055-940-8720,경상남도 거창군 체육시설사업소,35.77246504,127.8065175,2023-03-31
북상면15-3,강선대마을체육시설,워킹트레이너,,경상남도 거창군 북상면 농산리 499-4,055-940-8720,경상남도 거창군 체육시설사업소,35.77246504,127.8065175,2023-03-31
북상면16-4,월성리마을체육시설(2),써핑롤링,,경상남도 거창군 북상면 월성리 1550-1,055-940-8720,경상남도 거창군 체육시설사업소,35.76402543,127.7427235,2023-03-31
북상면16-3,월성리마을체육시설(2),거꾸리,,경상남도 거창군 북상면 월성리 1550-1,055-940-8720,경상남도 거창군 체육시설사업소,35.76402543,127.7427235,2023-03-31
북상면16-2,월성리마을체육시설(2),큰활차,,경상남도 거창군 북상면 월성리 1550-1,055-940-8720,경상남도 거창군 체육시설사업소,35.76402543,127.7427235,2023-03-31
북상면16-1,월성리마을체육시설(2),오버헤드폴리,,경상남도 거창군 북상면 월성리 1550-1,055-940-8720,경상남도 거창군 체육시설사업소,35.76402543,127.7427235,2023-03-31
북상면17-4,용수막체육시설,싣업+트위스트,,경상남도 거창군 북상면 농산리 42-3,055-940-8720,경상남도 거창군 체육시설사업소,35.77509591,127.813515,2023-03-31
북상면17-3,용수막체육시설,스윙워커,,경상남도 거창군 북상면 농산리 42-3,055-940-8720,경상남도 거창군 체육시설사업소,35.77509591,127.813515,2023-03-31
북상면17-5,용수막체육시설,롤러마사지,,경상남도 거창군 북상면 농산리 42-3,055-940-8720,경상남도 거창군 체육시설사업소,35.77509591,127.813515,2023-03-31
북상면17-2,용수막체육시설,거꾸리,,경상남도 거창군 북상면 농산리 42-3,055-940-8720,경상남도 거창군 체육시설사업소,35.77509591,127.813515,2023-03-31
북상면17-1,용수막체육시설,백스트레칭,,경상남도 거창군 북상면 농산리 42-3,055-940-8720,경상남도 거창군 체육시설사업소,35.77509591,127.813515,2023-03-31
웅양면1-1,원촌마을체육시설,트위스트,경상남도 거창군 웅양면 웅양로 1443-13,경상남도 거창군 웅양면 노현리 147-2,055-940-8720,경상남도 거창군 체육시설사업소,35.80666381,127.9178214,2023-03-31
웅양면1-2,원촌마을체육시설,트위스트,경상남도 거창군 웅양면 웅양로 1443-13,경상남도 거창군 웅양면 노현리 147-2,055-940-8720,경상남도 거창군 체육시설사업소,35.80666381,127.9178214,2023-03-31
웅양면1-3,원촌마을체육시설,팔굽혀펴기,경상남도 거창군 웅양면 웅양로 1443-13,경상남도 거창군 웅양면 노현리 147-2,055-940-8720,경상남도 거창군 체육시설사업소,35.80666381,127.9178214,2023-03-31
웅양면3-1,원촌소공원족구장,차닝,,경상남도 거창군 웅양면 노현리 262,055-940-8720,경상남도 거창군 체육시설사업소,35.80386915,127.9181588,2023-03-31
웅양면3-2,원촌소공원족구장,워킹트레이너,,경상남도 거창군 웅양면 노현리 262,055-940-8720,경상남도 거창군 체육시설사업소,35.80386915,127.9181588,2023-03-31
웅양면3-3,원촌소공원족구장,트위스트,,경상남도 거창군 웅양면 노현리 262,055-940-8720,경상남도 거창군 체육시설사업소,35.80386915,127.9181588,2023-03-31
웅양면4-4,원촌마을체육시설(2),써핑롤링,,경상남도 거창군 웅양면 노현리 110-1,055-940-8720,경상남도 거창군 체육시설사업소,35.80698534,127.9193085,2023-03-31
웅양면4-3,원촌마을체육시설(2),트위스트,,경상남도 거창군 웅양면 노현리 110-1,055-940-8720,경상남도 거창군 체육시설사업소,35.80698534,127.9193085,2023-03-31
웅양면4-2,원촌마을체육시설(2),싣업,,경상남도 거창군 웅양면 노현리 110-1,055-940-8720,경상남도 거창군 체육시설사업소,35.80698534,127.9193085,2023-03-31
웅양면4-1,원촌마을체육시설(2),싸이클,,경상남도 거창군 웅양면 노현리 110-1,055-940-8720,경상남도 거창군 체육시설사업소,35.80698534,127.9193085,2023-03-31
웅양면4-5,원촌마을체육시설(2),트위스트,,경상남도 거창군 웅양면 노현리 110-1,055-940-8720,경상남도 거창군 체육시설사업소,35.80698534,127.9193085,2023-03-31
웅양면4-6,원촌마을체육시설(2),철봉,,경상남도 거창군 웅양면 노현리 110-1,055-940-8720,경상남도 거창군 체육시설사업소,35.80698534,127.9193085,2023-03-31
웅양면4-7,원촌마을체육시설(2),싣업(목재),,경상남도 거창군 웅양면 노현리 110-1,055-940-8720,경상남도 거창군 체육시설사업소,35.80698534,127.9193085,2023-03-31
웅양면5-4,죽림마을체육시설,차닝,경상남도 거창군 웅양면 죽림길 233,경상남도 거창군 웅양면 죽림리 912-1,055-940-8720,경상남도 거창군 체육시설사업소,35.80154047,127.9035038,2023-03-31
웅양면5-3,죽림마을체육시설,써핑롤링,경상남도 거창군 웅양면 죽림길 233,경상남도 거창군 웅양면 죽림리 912-1,055-940-8720,경상남도 거창군 체육시설사업소,35.80154047,127.9035038,2023-03-31
웅양면5-2,죽림마을체육시설,트위스트,경상남도 거창군 웅양면 죽림길 233,경상남도 거창군 웅양면 죽림리 912-1,055-940-8720,경상남도 거창군 체육시설사업소,35.80154047,127.9035038,2023-03-31
웅양면5-1,죽림마을체육시설,작은활자+스윙워커,경상남도 거창군 웅양면 죽림길 233,경상남도 거창군 웅양면 죽림리 912-1,055-940-8720,경상남도 거창군 체육시설사업소,35.80154047,127.9035038,2023-03-31
웅양면7-1,산포리체육시설(웅양저수지),롤러마사지,,경상남도 거창군 웅양면 산포리 산 261-16,055-940-8720,경상남도 거창군 체육시설사업소,35.83093667,127.9295373,2023-03-31
웅양면7-2,산포리체육시설(웅양저수지),작은활차,,경상남도 거창군 웅양면 산포리 산 261-16,055-940-8720,경상남도 거창군 체육시설사업소,35.83093667,127.9295373,2023-03-31
웅양면7-3,산포리체육시설(웅양저수지),스윙워커,,경상남도 거창군 웅양면 산포리 산 261-16,055-940-8720,경상남도 거창군 체육시설사업소,35.83093667,127.9295373,2023-03-31
웅양면7-4,산포리체육시설(웅양저수지),써핑롤링,,경상남도 거창군 웅양면 산포리 산 261-16,055-940-8720,경상남도 거창군 체육시설사업소,35.83093667,127.9295373,2023-03-31
웅양면7-6,산포리체육시설(웅양저수지),트위스트,,경상남도 거창군 웅양면 산포리 산 261-16,055-940-8720,경상남도 거창군 체육시설사업소,35.83093667,127.9295373,2023-03-31
웅양면7-5,산포리체육시설(웅양저수지),스윙워커,,경상남도 거창군 웅양면 산포리 산 261-16,055-940-8720,경상남도 거창군 체육시설사업소,35.83093667,127.9295373,2023-03-31
웅양면7-7,산포리체육시설(웅양저수지),트위스트,,경상남도 거창군 웅양면 산포리 산 261-16,055-940-8720,경상남도 거창군 체육시설사업소,35.83093667,127.9295373,2023-03-31
웅양면7-8,산포리체육시설(웅양저수지),롤러마사지,,경상남도 거창군 웅양면 산포리 산 261-16,055-940-8720,경상남도 거창군 체육시설사업소,35.83093667,127.9295373,2023-03-31
웅양면7-9,산포리체육시설(웅양저수지),써핑롤링,,경상남도 거창군 웅양면 산포리 산 261-16,055-940-8720,경상남도 거창군 체육시설사업소,35.83093667,127.9295373,2023-03-31
웅양면7-10,산포리체육시설(웅양저수지),작은활차,,경상남도 거창군 웅양면 산포리 산 261-16,055-940-8720,경상남도 거창군 체육시설사업소,35.83093667,127.9295373,2023-03-31
웅양면7-11,산포리체육시설(웅양저수지),스윙워커,,경상남도 거창군 웅양면 산포리 산 261-16,055-940-8720,경상남도 거창군 체육시설사업소,35.83093667,127.9295373,2023-03-31
웅양면9-2,노현마을체육시설,트위스트,경상남도 거창군 웅양면 성안길 12,경상남도 거창군 웅양면 노현리 1090-1,055-940-8720,경상남도 거창군 체육시설사업소,35.81021792,127.910172,2023-03-31
웅양면9-1,노현마을체육시설,작은활차,경상남도 거창군 웅양면 성안길 12,경상남도 거창군 웅양면 노현리 1090-1,055-940-8720,경상남도 거창군 체육시설사업소,35.81021792,127.910172,2023-03-31
웅양면14-1,면사무소체육시설,철봉,경상남도 거창군 웅양면 웅양로 1433,경상남도 거창군 웅양면 노현리 223-2,055-940-8720,경상남도 거창군 체육시설사업소,35.80538904,127.9182093,2023-03-31
웅양면18-1,어인마을체육시설,트위스트,경상남도 거창군 웅양면 어인안길 53,경상남도 거창군 웅양면 산포리 784-1,055-940-8720,경상남도 거창군 체육시설사업소,35.85260153,127.9392709,2023-03-31
웅양면18-2,어인마을체육시설,스윙워커,경상남도 거창군 웅양면 어인안길 53,경상남도 거창군 웅양면 산포리 784-1,055-940-8720,경상남도 거창군 체육시설사업소,35.85260153,127.9392709,2023-03-31
웅양면18-3,어인마을체육시설,큰활차,경상남도 거창군 웅양면 어인안길 53,경상남도 거창군 웅양면 산포리 784-1,055-940-8720,경상남도 거창군 체육시설사업소,35.85260153,127.9392709,2023-03-31
